time, running_average(5), position_error, PI_output, smoothed_output, total_output
0,1.3156,-5.2624,-5.31502,-2.65751,7.97253
0.5,0.599631,4.17947,4.16864,-0.950972,-3.21767
1,-0.678227,5.71106,5.75734,0.726107,-6.48345
1.5,-0.919116,0.285329,0.334464,0.628196,-0.96266
2,-2.06343,3.65816,3.74387,1.40712,-5.15099
2.5,-2.6152,-6.43437,-6.413,-0.547913,6.96091
3,-1.40028,-3.89502,-3.9126,-1.38908,5.30168
3.5,0.241924,-1.57982,-1.6132,-1.44511,3.05831
4,2.46377,-7.441,-7.54879,-2.97103,10.5198
4.5,1.70598,11.2165,11.2209,0.576946,-11.7978
5,1.45523,-1.1102,-1.11692,0.153479,0.963442
5.5,0.968192,0.908666,0.91103,0.342867,-1.2539
6,-1.36915,8.49581,8.58313,2.40293,-10.9861
6.5,-1.6313,-10.2253,-10.2402,-0.757863,10.9981
7,0.143382,0.78049,0.773363,-0.375056,-0.398307
7.5,0.279312,-2.96577,-3.00256,-1.03193,4.03449
8,0.87984,-2.18232,-2.24093,-1.33418,3.57511
8.5,1.89363,6.68964,6.69793,0.673847,-7.37178
9,0.952232,-2.9348,-2.95586,-0.23358,3.18944
9.5,0.429229,3.68135,3.6971,0.749091,-4.44619
10,-1.927,6.60908,6.69093,2.23455,-8.92548
10.5,-0.564458,-10.4394,-10.4619,-0.939564,11.4015
11,-0.481574,3.90002,3.91647,0.274445,-4.19091
11.5,-2.17106,2.38932,2.42967,0.813251,-3.24292
12,0.34162,-8.96964,-9.01899,-1.64481,10.6638
12.5,0.417321,8.5749,8.6113,0.919218,-9.53052
13,-1.00174,-3.78135,-3.78276,-0.256277,4.03904
13.5,-0.136396,-0.0815063,-0.0837371,-0.213142,0.296879
14,0.38237,2.34892,2.37018,0.432688,-2.80286
14.5,-1.13352,-2.86534,-2.87273,-0.393668,3.2664
15,-1.10187,6.89747,6.95905,1.44451,-8.40356
15.5,-0.26006,-7.24872,-7.25962,-0.731522,7.99115
16,-0.367531,0.224714,0.216054,-0.494628,0.278575
16.5,-0.5099,2.1685,2.18152,0.174409,-2.35593
17,0.604564,-6.69958,-6.75355,-1.55758,8.31113
17.5,2.41731,1.35291,1.31247,-0.840067,-0.472404
18,-0.182712,5.82874,5.84659,0.831597,-6.67819
18.5,0.0633284,-0.574628,-0.562528,0.483065,0.0794629
19,0.289507,1.83701,1.86748,0.829169,-2.69665
19.5,-2.13405,2.6796,2.73686,1.30609,-4.04295
20,-1.87774,-4.22367,-4.20865,-0.0725921,4.28124
20.5,0.325068,-4.67754,-4.70928,-1.23176,5.94105
21,1.06597,-3.27649,-3.341,-1.75907,5.10008
21.5,0.604333,4.46002,4.4401,-0.20928,-4.23082
22,2.75301,-3.17672,-3.2284,-0.964061,4.19246
22.5,0.781768,8.29204,8.32328,1.35778,-9.68106
23,-1.82949,6.22418,6.31767,2.59775,-8.91541
23.5,-1.60695,-7.06211,-7.03925,0.1885,6.85075
24,-1.7217,2.70774,2.75768,0.830794,-3.58847
24.5,-1.24362,-9.56372,-9.60942,-1.77926,11.3887
25,0.769814,-1.7871,-1.85067,-1.79711,3.64778
25.5,3.14979,-0.696421,-0.766954,-1.53957,2.30653
26,1.94539,2.51223,2.46682,-0.537973,-1.92885
26.5,0.994072,10.1801,10.2365,2.15564,-12.3921
27,-0.126529,-2.84362,-2.81567,0.912813,1.90286
27.5,-1.47566,2.71309,2.76817,1.37665,-4.14482
28,-3.10999,1.21543,1.28267,1.35316,-2.63583
28.5,-1.12604,-10.4789,-10.5165,-1.61425,12.1307
29,1.34233,-1.81352,-1.8692,-1.67799,3.54719
29.5,-0.287691,5.14532,5.14109,0.026783,-5.16788
30,2.20141,-6.05534,-6.12013,-1.50994,7.63007
30.5,1.06828,11.0593,11.1051,1.64383,-12.749
31,-1.98452,3.9266,4.01168,2.23579,-6.24747
31.5,-2.308,-3.84643,-3.79982,0.726887,3.07293
32,-1.58205,0.221199,0.270021,0.61267,-0.882691
32.5,-1.25894,-11.1312,-11.1937,-2.33893,13.5327
33,-0.0675118,3.96641,3.94359,-0.768301,-3.17528
33.5,2.574,-4.72244,-4.79249,-1.77435,6.56683
34,2.49149,1.36559,1.3092,-1.00346,-0.305734
34.5,0.938938,10.505,10.5536,1.88581,-12.4394
35,-0.424931,-3.47789,-3.46402,0.548353,2.91566
35.5,0.308986,0.673324,0.693933,0.584748,-1.27868
36,-1.92244,1.93826,1.97825,0.933124,-2.91138
36.5,-0.288098,-9.58571,-9.64158,-1.71055,11.3521
37,2.99415,-3.85107,-3.94545,-2.26928,6.21473
37.5,1.78645,4.772,4.72534,-0.520621,-4.20472
38,1.80083,2.09329,2.06757,0.126426,-2.19399
38.5,1.2673,7.79563,7.84786,2.05678,-9.90465
39,-0.844654,0.4175,0.473908,1.66107,-2.13497
39.5,-2.87547,0.433397,0.494139,1.36933,-1.86347
40,-2.29218,-2.2231,-2.18459,0.480853,1.70374
40.5,-0.289583,-10.0101,-10.0717,-2.15728,12.229
41,0.50944,3.04265,3.01149,-0.865089,-2.1464
41.5,1.20167,-0.997339,-1.03848,-0.908436,1.94691
42,1.72124,2.43227,2.41545,-0.0774634,-2.33799
42.5,1.11154,4.22911,4.25459,1.00555,-5.26014
43,-1.83832,3.1905,3.24788,1.56613,-4.81401
43.5,-1.5614,-0.412786,-0.359532,1.08472,-0.725184
44,-0.805156,-6.7854,-6.8,-0.886463,7.68646
44.5,-1.20045,1.48703,1.4873,-0.293023,-1.19427
45,0.392009,-4.4527,-4.49695,-1.34401,5.84096
45.5,1.51558,0.926539,0.891548,-0.785118,-0.10643
46,1.63888,2.17101,2.15773,-0.0494064,-2.10832
46.5,0.0779724,1.90226,1.908,0.439945,-2.34794
47,-0.176987,3.78528,3.82888,1.28718,-5.11605
47.5,-0.586514,-3.38358,-3.37383,0.121927,3.2519
48,-0.782658,-0.390982,-0.385133,-0.0048384,0.389972
48.5,-1.42257,2.30911,2.33805,0.580883,-2.91893
49,0.0276806,-5.39927,-5.42432,-0.920419,6.34474
49.5,1.50969,-1.93807,-1.9825,-1.18594,3.16845
50,-0.652338,7.36071,7.38988,0.958016,-8.3479
50.5,1.03361,-7.00446,-7.04533,-1.04282,8.08815
51,1.37474,3.40076,3.3939,0.066359,-3.46026
51.5,-0.590158,3.80739,3.8386,1.00942,-4.84802
52,-0.950542,-2.59638,-2.59113,0.109281,2.48185
52.5,-0.236651,4.20694,4.25426,1.14553,-5.39978
53,-0.606972,-6.79343,-6.81405,-0.844368,7.65842
53.5,-1.32822,4.30405,4.32648,0.448343,-4.77482
54,0.451012,-4.04762,-4.06568,-0.680162,4.74584
54.5,1.78371,-6.52563,-6.60894,-2.16236,8.77129
55,1.00838,9.32863,9.3386,0.712884,-10.0515
