time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
0.5,-100.716,-44.1908,101.387,0.557522,0.221239
1,-32.9755,30.3041,125.71,0.503379,0.333198
1.5,62.4625,43.6833,-37.2259,0.504468,0.335035
2,69.6057,53.6431,-32.4729,0.491568,0.289648
2.5,74.8627,33.2187,-89.5221,0.465181,0.238956
3,43.7424,44.3999,1.5131,0.434555,0.196618
3.5,55.0723,35.5985,-48.0713,0.405103,0.164311
4,42.3216,23.099,-50.7165,0.379021,0.140467
4.5,26.2601,30.1626,10.934,0.356909,0.123133
5,33.9969,5.32953,-84.6418,0.33869,0.11067
5.5,4.48019,-4.41932,-27.4658,0.324022,0.10182
6,-6.66694,-34.2039,-88.1264,0.312471,0.0956401
6.5,-40.6658,-43.8075,-10.3487,0.303587,0.0914219
7,-50.7424,-20.2096,102.83,0.296926,0.088627
7.5,-22.5877,-10.3747,41.8147,0.292074,0.0868452
8,-10.9371,0.930536,41.1143,0.288651,0.0857652
8.5,2.13119,-6.72653,-30.9362,0.286322,0.0851537
9,-6.84304,11.5326,64.5209,0.284801,0.0848406
9.5,14.153,20.414,22.0569,0.283853,0.0847058
10,23.9686,12.4929,-40.5081,0.283295,0.0846684
10.5,14.3327,31.8775,61.9983,0.282988,0.0846769
11,36.3421,26.8625,-33.5164,0.282835,0.0847011
11.5,29.9078,14.1137,-55.8551,0.282768,0.084725
12,14.7928,-16.4238,-110.406,0.282745,0.0847419
12.5,-20.4227,-29.9023,-33.5276,0.28274,0.0847503
13,-35.3219,-18.7911,58.4663,0.28274,0.0847512
13.5,-21.7332,-23.6159,-6.65855,0.282739,0.084747
14,-26.8401,-11.4494,54.435,0.282735,0.0847398
14.5,-12.3673,-18.0015,-19.9283,0.282727,0.0847314
15,-19.7636,-10.0462,34.3717,0.282718,0.0847231
15.5,-10.3522,5.39087,55.6869,0.282708,0.0847158
16,7.44358,4.64924,-9.88457,0.282698,0.0847098
16.5,6.28329,27.4453,74.8596,0.28269,0.0847051
17,32.2499,34.793,8.9966,0.282682,0.0847016
17.5,39.9786,34.9595,-17.7557,0.282677,0.0846992
18,39.3931,5.55078,-119.723,0.282672,0.0846977
18.5,4.91427,-15.5757,-72.4876,0.282669,0.0846967
19,-19.282,-2.62128,58.9411,0.282667,0.0846961
19.5,-3.83147,-16.9792,-46.5133,0.282666,0.0846958
20,-20.1591,-18.0584,7.43193,0.282665,0.0846957
20.5,-20.9236,-22.3625,-5.09035,0.282664,0.0846957
21,-25.4432,-21.2495,14.8363,0.282664,0.0846957
21.5,-23.702,-16.4451,25.6732,0.282664,0.0846957
22,-17.8104,-17.1951,2.17684,0.282664,0.0846957
22.5,-18.4682,15.3739,119.725,0.282664,0.0846957
23,19.1709,27.4888,29.4269,0.282664,0.0846957
23.5,32.532,35.5041,10.5146,0.282664,0.0846957
24,40.9925,24.1157,-59.7063,0.282664,0.0846957
24.5,27.0757,1.53074,-90.3722,0.282664,0.0846957
25,0.66369,11.1298,37.0268,0.282664,0.0846957
25.5,11.8308,0.938097,-38.5358,0.282664,0.0846957
26,0.00713885,-5.68062,-20.122,0.282664,0.0846957
26.5,-7.4637,-18.4906,-39.0107,0.282664,0.0846957
27,-21.9257,-22.8304,-3.20064,0.282664,0.0846957
27.5,-26.4011,-23.4532,10.4288,0.282664,0.0846957
28,-26.5822,-39.8882,-47.0735,0.282664,0.0846957
28.5,-45.0107,-8.58473,128.867,0.282664,0.0846957
29,-8.24997,14.7274,81.2886,0.282664,0.0846957
29.5,18.5045,22.5666,14.3707,0.282664,0.0846957
30,26.9523,21.3344,-19.8748,0.282664,0.0846957
30.5,24.8785,12.0257,-45.4702,0.282664,0.0846957
31,13.6442,23.8093,35.9617,0.282664,0.0846957
31.5,26.9507,12.5614,-50.9059,0.282664,0.0846957
32,13.5471,12.6338,-3.23117,0.282664,0.0846957
32.5,13.4826,3.26366,-36.1522,0.282664,0.0846957
33,2.58151,-14.6613,-61.0011,0.282664,0.0846957
33.5,-17.9267,-19.7312,-6.38374,0.282664,0.0846957
34,-23.2669,-43.7201,-72.3586,0.282664,0.0846957
34.5,-50.32,-28.9588,75.5713,0.282664,0.0846957
35,-32.3585,-6.33479,92.0659,0.282664,0.0846957
35.5,-5.8357,6.85299,44.8897,0.282664,0.0846957
36,9.25306,8.27281,-3.4679,0.282664,0.0846957
36.5,10.526,1.74857,-31.0526,0.282664,0.0846957
37,2.68678,26.0531,82.6646,0.282664,0.0846957
37.5,30.4919,20.233,-36.2939,0.282664,0.0846957
38,23.1349,19.8384,-11.6622,0.282664,0.0846957
38.5,22.2464,25.5801,11.794,0.282664,0.0846957
39,28.4876,9.22092,-68.1611,0.282664,0.0846957
39.5,9.24193,-6.69604,-56.3849,0.282664,0.0846957
40,-9.06281,-36.4275,-96.81,0.282664,0.0846957
40.5,-42.894,-29.1789,48.5209,0.282664,0.0846957
41,-33.5906,-19.1363,51.1359,0.282664,0.0846957
41.5,-21.3825,-13.3273,28.4975,0.282664,0.0846957
42,-14.3667,-4.09277,36.3468,0.282664,0.0846957
42.5,-3.59297,-13.7993,-36.1075,0.282664,0.0846957
43,-14.8285,8.2602,81.6826,0.282664,0.0846957
43.5,10.69,15.5374,17.1491,0.282664,0.0846957
44,18.6935,20.2039,5.34356,0.282664,0.0846957
44.5,23.5862,33.0195,33.3726,0.282664,0.0846957
45,37.8151,28.7672,-32.0092,0.282664,0.0846957
45.5,32.2073,18.2819,-49.2648,0.282664,0.0846957
46,19.6357,-20.5933,-142.321,0.282664,0.0846957
46.5,-25.2665,-20.5974,16.5183,0.282664,0.0846957
47,-24.5711,-11.4198,46.5262,0.282664,0.0846957
47.5,-13.4232,-21.2372,-27.644,0.282664,0.0846957
48,-24.4113,-17.1904,25.5459,0.282664,0.0846957
48.5,-19.2826,-23.9453,-16.4954,0.282664,0.0846957
49,-26.7361,-10.2849,58.2005,0.282664,0.0846957
49.5,-10.611,-6.44267,14.7466,0.282664,0.0846957
50,-6.14431,6.88672,46.1008,0.282664,0.0846957
50.5,9.13735,31.9486,80.7011,0.282664,0.0846957
51,37.6168,31.5138,-21.5911,0.282664,0.0846957
51.5,36.2676,33.6149,-9.38443,0.282664,0.0846957
52,37.9713,3.71136,-121.204,0.282664,0.0846957
52.5,2.93504,-6.49603,-33.365,0.282664,0.0846957
53,-8.68529,1.74931,36.9152,0.282664,0.0846957
53.5,1.12333,-9.46857,-37.4717,0.282664,0.0846957
54,-11.6814,-15.3808,-13.0878,0.282664,0.0846957
54.5,-18.1479,-30.388,-43.3028,0.282664,0.0846957
55,-34.9889,-20.0871,52.719,0.282664,0.0846957
55.5,-22.4554,-23.779,-4.68261,0.282664,0.0846957
56,-26.3456,-20.3572,21.1857,0.282664,0.0846957
