time,measured_position,estimated_position, error, K1, K2, estimated_velocity
0.1,25.5964,24.9354,3.30499,0.8,0.2,0.660999
0.2,28.3203,27.6566,3.31882,0.8,0.2,1.32476
0.3,30.1851,29.7059,2.39605,0.8,0.2,1.80397
0.4,30.9394,30.7288,1.05314,0.8,0.2,2.0146
0.5,30.3816,30.4914,-0.548595,0.8,0.2,1.90488
0.6,28.3849,28.8443,-2.29699,0.8,0.2,1.44548
0.7,24.9268,25.7392,-4.06206,0.8,0.2,0.63307
0.8,20.1402,21.2726,-5.66231,0.8,0.2,-0.499391
0.9,14.4683,15.8192,-6.75435,0.8,0.2,-1.85026
1,9.44069,10.6794,-6.19349,0.8,0.2,-3.08896
1.1,9.74711,9.87179,-0.623384,0.8,0.2,-3.21364
1.2,16.0376,14.7401,6.48715,0.8,0.2,-1.91621
1.3,23.9979,22.108,9.44941,0.8,0.2,-0.0263251
1.4,31.8882,29.9317,9.78283,0.8,0.2,1.93024
1.5,38.9217,37.1623,8.79702,0.8,0.2,3.68965
1.6,44.5562,43.1512,7.02494,0.8,0.2,5.09463
1.7,48.3816,47.4374,4.72089,0.8,0.2,6.03881
1.8,50.1115,49.6974,2.07018,0.8,0.2,6.45285
1.9,49.5942,49.7439,-0.748573,0.8,0.2,6.30313
2,46.823,47.5332,-3.55117,0.8,0.2,5.5929
2.1,41.9426,43.1726,-6.14992,0.8,0.2,4.36292
2.2,35.2516,36.923,-8.35732,0.8,0.2,2.69145
2.3,27.2178,29.2126,-9.97442,0.8,0.2,0.696566
2.4,18.5799,20.7204,-10.7024,0.8,0.2,-1.44392
2.5,11.0187,12.9302,-9.55724,0.8,0.2,-3.35537
2.6,9.78102,10.3437,-2.81362,0.8,0.2,-3.91809
2.7,15.8638,14.6814,5.91189,0.8,0.2,-2.73571
2.8,23.1859,21.4303,8.77805,0.8,0.2,-0.980102
2.9,29.69,28.0185,8.35772,0.8,0.2,0.691442
3,34.7929,33.4518,6.70527,0.8,0.2,2.0325
3.1,38.326,37.3918,4.67091,0.8,0.2,2.96668
3.2,40.3665,39.8309,2.67798,0.8,0.2,3.50227
3.3,41.1923,40.9901,1.01118,0.8,0.2,3.70451
3.4,41.239,41.2633,-0.12149,0.8,0.2,3.68021
3.5,41.0192,41.1416,-0.612148,0.8,0.2,3.55778
3.6,40.9886,41.0903,-0.508812,0.8,0.2,3.45602
3.7,41.3882,41.3977,-0.0477676,0.8,0.2,3.44647
3.8,42.1468,42.0659,0.404449,0.8,0.2,3.52736
3.9,42.9154,42.816,0.496708,0.8,0.2,3.6267
4,43.2035,43.1985,0.0247498,0.8,0.2,3.63165
4.1,42.5277,42.7345,-1.03392,0.8,0.2,3.42487
4.2,40.5138,41.0265,-2.56319,0.8,0.2,2.91223
4.3,36.9471,37.8213,-4.37054,0.8,0.2,2.03812
4.4,31.7909,33.0377,-6.23421,0.8,0.2,0.791279
4.5,25.1889,26.7745,-7.9279,0.8,0.2,-0.794301
4.6,17.4866,19.3283,-9.20851,0.8,0.2,-2.636
4.7,9.46365,11.3839,-9.60103,0.8,0.2,-4.55621
4.8,5.47222,6.56342,-5.45601,0.8,0.2,-5.64741
4.9,11.7623,10.6096,5.76361,0.8,0.2,-4.49469
5,19.7418,17.8255,9.5817,0.8,0.2,-2.57835
5.1,26.9801,25.0976,9.41247,0.8,0.2,-0.695854
