time, running_average(5), position_error, PI_output, smoothed_output, total_output
0,2.73768,-10.9507,-11.0602,-5.53012,16.5904
0.1,5.86292,-9.76327,-9.97041,-6.64019,16.6106
0.2,9.29039,-7.84694,-8.13255,-7.01328,15.1458
0.3,12.9147,-5.20678,-5.54445,-6.64608,12.1905
0.4,16.6229,-1.91835,-2.27521,-5.55336,7.82857
0.5,17.5712,-0.858585,-1.22403,-4.47103,5.69506
0.6,18.0258,0.126793,-0.237386,-3.41262,3.65
0.7,18.0275,0.881449,0.526085,-2.42794,1.90186
0.8,17.6924,1.24644,0.903539,-1.59507,0.691532
0.9,17.2051,1.10038,0.76848,-1.00418,0.235703
1,16.7901,0.435549,0.108008,-0.726135,0.618127
1.1,16.6579,-0.580379,-0.913724,-0.773033,1.68676
1.2,16.9473,-1.64588,-1.99569,-1.0787,3.07438
1.3,17.6875,-2.45941,-2.8338,-1.51747,4.35128
1.4,18.792,-2.83519,-3.23794,-1.94759,5.18553
1.5,20.0858,-2.73733,-3.16745,-2.25256,5.42001
1.6,21.3595,-2.24731,-2.69991,-2.36439,5.0643
1.7,22.4287,-1.51076,-1.97846,-2.26791,4.24637
1.8,23.1736,-0.697702,-1.17238,-1.99403,3.16641
1.9,23.5553,0.0194244,-0.455061,-1.60929,2.06435
2,23.6173,0.48402,0.0143746,-1.20337,1.189
2.1,23.4742,0.583229,0.119416,-0.872675,0.753259
2.2,23.2858,0.28805,-0.172883,-0.697727,0.87061
2.3,23.218,-0.31391,-0.777982,-0.71779,1.49577
2.4,23.3954,-1.02775,-1.5021,-0.913869,2.41597
2.5,23.8645,-1.6141,-2.10459,-1.21155,3.31614
2.6,24.5754,-1.87034,-2.37954,-1.50355,3.88308
2.7,25.391,-1.68448,-2.21052,-1.68029,3.89081
2.8,26.1168,-1.04436,-1.58084,-1.65543,3.23626
2.9,26.5441,-0.0152969,-0.551932,-1.37955,1.93149
3,26.4877,1.29094,0.767212,-0.842862,0.0756503
3.1,25.813,2.7409,2.24458,-0.0710011,-2.17358
3.2,24.4488,4.19418,3.73981,0.881701,-4.62151
3.3,22.3935,5.50897,5.10969,1.9387,-7.04839
3.4,19.7181,6.53568,6.20175,3.00446,-9.20621
3.5,16.579,7.07773,6.81458,3.95699,-10.7716
3.6,13.2713,6.73754,6.54176,4.60318,-11.1449
3.7,10.3475,4.71196,4.5633,4.59321,-9.15652
3.8,8.39841,1.25923,1.12317,3.7257,-4.84887
3.9,7.64141,-1.75595,-1.90957,2.31688,-0.407311
4,8.01478,-3.35332,-3.54047,0.852544,2.68793
4.1,9.2385,-3.41383,-3.63513,-0.269374,3.9045
4.2,10.7284,-2.35665,-2.60151,-0.852409,3.45392
4.3,11.8234,-0.790804,-1.04357,-0.9002,1.94377
4.4,12.1973,0.930504,0.687039,-0.50339,-0.183649
4.5,11.7513,2.6133,2.39596,0.221448,-2.61741
4.6,10.5003,4.10304,3.92674,1.14777,-5.07452
4.7,8.56274,5.16525,5.0406,2.12098,-7.16158
4.8,6.48062,4.27701,4.19514,2.63952,-6.83465
4.9,5.23173,0.209353,0.129568,2.01203,-2.1416
5,5.08788,-3.33084,-3.44393,0.64804,2.79589
5.1,6.12712,-5.4663,-5.63406,-0.922485,6.55654
5.2,8.30873,-5.9968,-6.22452,-2.24799,8.47252
5.3,11.1505,-5.2618,-5.54214,-3.07153,8.61367
5.4,13.7133,-4.12331,-4.44488,-3.41487,7.85975
5.5,15.7432,-2.82496,-3.17478,-3.35485,6.52963
5.6,17.1581,-1.50967,-1.87459,-2.98478,4.85938
5.7,17.9511,-0.319809,-0.687929,-2.41057,3.0985
5.8,18.186,0.599621,0.237497,-1.74855,1.51106
5.9,17.9944,1.11576,0.764791,-1.12022,0.355426
6,17.5648,1.14429,0.804762,-0.638972,-0.16579
6.1,17.1125,0.70627,0.37381,-0.385777,0.011967
6.2,16.8315,-0.0340824,-0.366884,-0.381054,0.747937
6.3,16.8451,-0.809303,-1.1502,-0.57334,1.72354
6.4,17.1759,-1.35671,-1.71117,-0.857797,2.56897
6.5,17.7434,-1.51482,-1.88443,-1.11446,2.99889
