time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
0.1,26.2083,26.3751,0.33032,0.50495,0.049505
0.2,26.3768,26.1635,-0.612001,0.348493,0.0977326
0.3,26.1591,25.5336,-2.23773,0.279561,0.142482
0.4,25.4973,24.4168,-4.37588,0.24692,0.181269
0.5,24.3013,22.7334,-6.74821,0.23234,0.211971
0.6,22.4748,20.4325,-8.99502,0.227044,0.233414
0.7,19.964,17.5458,-10.6963,0.226079,0.245619
0.8,16.8145,14.2682,-11.239,0.226557,0.249652
0.9,13.2564,11.1943,-9.08782,0.226902,0.247202
1,9.95784,9.05131,-4.00404,0.226403,0.240125
1.1,7.71866,7.863,0.641889,0.224868,0.230113
1.2,6.54511,7.35668,3.64939,0.222384,0.218531
1.3,6.11854,7.21851,5.01907,0.219157,0.206379
1.4,6.08396,7.16743,5.0296,0.215418,0.194338
1.5,6.13062,6.98583,4.04587,0.211379,0.182835
1.6,6.023,6.53583,2.47492,0.207213,0.172114
1.7,5.61559,5.77702,0.795024,0.203053,0.162292
1.8,4.86969,4.81961,-0.251659,0.198996,0.153405
1.9,3.90842,4.01332,0.537683,0.19511,0.145436
2,3.10995,3.6755,2.95426,0.191438,0.138339
2.1,2.81299,3.81285,5.31824,0.188005,0.132055
2.2,3.02057,4.28338,6.83245,0.184825,0.126513
2.3,3.57754,4.9034,7.2889,0.181901,0.121645
2.4,4.28623,5.48646,6.69663,0.179229,0.117384
2.5,4.9479,5.86258,5.17351,0.176802,0.113663
2.6,5.38282,5.89057,2.9079,0.174609,0.110426
2.7,5.44292,5.46651,0.13663,0.172637,0.107616
2.8,5.02033,4.52953,-2.87233,0.170871,0.105184
2.9,4.05314,3.67365,-2.24157,0.169296,0.103087
3,3.17415,3.65074,2.83854,0.167899,0.101282
3.1,3.17999,4.35155,7.02953,0.166663,0.0997346
3.2,3.95091,5.63668,10.1813,0.165575,0.098412
3.3,5.33623,7.34468,12.2004,0.164622,0.0972854
3.4,7.16293,9.30152,13.057,0.163789,0.0963292
3.5,9.24554,11.331,12.789,0.163064,0.0955205
3.6,11.3972,13.2654,11.5015,0.162437,0.0948393
3.7,13.4407,14.9561,9.36027,0.161895,0.0942678
3.8,15.2196,16.2819,6.58055,0.16143,0.0937902
3.9,16.6071,17.1564,3.41124,0.161032,0.093393
4,17.5135,17.5322,0.116539,0.160693,0.093064
4.1,17.8904,17.4021,-3.04426,0.160406,0.0927928
4.2,17.732,16.7971,-5.83679,0.160163,0.0925706
4.3,17.073,15.7821,-8.07012,0.159959,0.0923891
4.4,15.9835,14.4478,-9.61082,0.159789,0.092242
4.5,14.5604,12.9026,-10.3845,0.159646,0.0921233
4.6,12.9196,11.2722,-10.3267,0.159528,0.0920281
4.7,11.1942,9.72489,-9.21573,0.159431,0.0919524
4.8,9.56212,8.44194,-7.02961,0.159351,0.0918924
4.9,8.21458,7.5038,-4.46223,0.159286,0.0918454
5,7.23546,6.93304,-1.89921,0.159233,0.0918088
5.1,6.64726,6.72859,0.510917,0.15919,0.0917806
5.2,6.44749,6.86511,2.62397,0.159156,0.0917591
5.3,6.6081,7.28971,4.28344,0.159128,0.0917429
5.4,7.07199,7.92285,5.34769,0.159107,0.0917308
5.5,7.75418,8.66332,5.71464,0.159089,0.0917219
5.6,8.54707,9.3962,5.33786,0.159076,0.0917156
5.7,9.3289,10.0025,4.23459,0.159066,0.0917112
5.8,9.97402,10.3695,2.48665,0.159058,0.0917081
5.9,10.3639,10.4013,0.235195,0.159052,0.0917061
6,10.3978,10.0273,-2.32962,0.159047,0.0917049
6.1,10.0024,9.21017,-4.98135,0.159044,0.0917042
6.2,9.13963,7.95626,-7.44066,0.159041,0.091704
6.3,7.81749,6.88447,-5.86657,0.159039,0.0917039
6.4,6.6919,6.45827,-1.46902,0.159038,0.091704
6.5,6.25222,6.5518,1.88367,0.159037,0.0917041
6.6,6.36303,7.01072,4.07262,0.159036,0.0917043
6.7,6.8593,7.66723,5.0802,0.159036,0.0917046
6.8,7.5624,8.35167,4.96285,0.159036,0.0917048
6.9,8.29235,8.90425,3.84757,0.159036,0.091705
7,8.88021,9.18635,1.92501,0.159035,0.0917051
7.1,9.17997,9.09054,-0.562306,0.159035,0.0917052
7.2,9.079,8.54843,-3.33618,0.159035,0.0917053
7.3,8.50629,7.53587,-6.10193,0.159035,0.0917053
7.4,7.43777,6.43493,-6.30579,0.159035,0.0917053
7.5,6.279,6.00827,-1.70236,0.159035,0.0917053
7.6,5.83673,6.12336,1.80231,0.159035,0.0917053
7.7,5.96836,6.61718,4.07975,0.159035,0.0917053
7.8,6.49959,7.30649,5.07373,0.159035,0.0917052
7.9,7.23543,7.99993,4.80708,0.159035,0.0917051
8,7.97295,8.5109,3.38258,0.159035,0.091705
8.1,8.51494,8.67045,0.977848,0.159035,0.091705
8.2,8.68346,8.33906,-2.16553,0.159035,0.0917049
8.3,8.33221,7.41655,-5.75759,0.159035,0.0917049
8.4,7.3569,6.52494,-5.23124,0.159035,0.0917048
8.5,6.41732,6.55912,0.891642,0.159035,0.0917047
8.6,6.45967,7.4475,6.21136,0.159035,0.0917047
8.7,7.40501,9.07229,10.4837,0.159035,0.0917045
8.8,9.12594,11.2761,13.5202,0.159035,0.0917045
8.9,11.4538,13.8716,15.2029,0.159035,0.0917045
9,14.1886,16.6527,15.4941,0.159035,0.0917044
9.1,17.1119,19.4085,14.4408,0.159035,0.0917044
9.2,20,21.9358,12.1719,0.159035,0.0917043
9.3,22.639,24.053,8.89094,0.159035,0.0917043
9.4,24.8377,25.6109,4.86161,0.159035,0.0917044
9.5,26.4402,26.5023,0.390352,0.159035,0.0917042
9.6,27.3351,26.668,-4.1949,0.159035,0.0917043
9.7,27.4624,26.1,-8.56701,0.159035,0.0917042
9.8,26.8158,24.8403,-12.4217,0.159035,0.0917042
9.9,25.4423,22.9778,-15.4968,0.159035,0.0917043
10,23.4376,20.6413,-17.5831,0.159035,0.0917042
10.1,20.9399,17.9993,-18.4903,0.159035,0.0917042
10.2,18.1283,15.4195,-17.0328,0.159035,0.0917042
10.3,15.3923,13.3355,-12.9335,0.159035,0.0917042
10.4,13.1897,11.5948,-10.0284,0.159035,0.0917042
10.5,11.3571,10.012,-8.45757,0.159035,0.0917042
10.6,9.69672,8.42925,-7.96978,0.159035,0.0917042
10.7,8.04087,6.79639,-7.82522,0.159035,0.0917041
10.8,6.33624,5.76247,-3.6078,0.159035,0.0917042
10.9,5.26924,5.31801,0.306658,0.159035,0.0917042
11,4.82759,5.41219,3.67594,0.159035,0.0917042
11.1,4.95548,5.95811,6.30446,0.159035,0.0917042
11.2,5.55922,6.8406,8.05725,0.159035,0.0917041
11.3,6.51559,7.92619,8.86975,0.159035,0.0917042
11.4,7.68252,9.07446,8.7524,0.159035,0.0917042
11.5,8.91106,10.15,7.79065,0.159035,0.0917042
11.6,10.0581,11.0347,6.14101,0.159035,0.0917042
11.7,10.9991,11.6393,4.02549,0.159035,0.0917041
11.8,11.6405,11.9154,1.72825,0.159035,0.0917042
11.9,11.9325,11.8687,-0.40144,0.159035,0.0917042
12,11.8821,11.5722,-1.94858,0.159035,0.0917042
12.1,11.5678,11.1684,-2.51134,0.159035,0.0917042
12.2,11.1409,10.8242,-1.9916,0.159035,0.0917041
12.3,10.7785,10.6484,-0.817905,0.159035,0.0917042
12.4,10.5952,10.6554,0.378957,0.159035,0.0917042
12.5,10.6057,10.7894,1.15504,0.159035,0.0917042
12.6,10.7502,10.9593,1.31492,0.159035,0.0917042
12.7,10.9322,11.0664,0.843527,0.159035,0.0917041
12.8,11.047,11.0223,-0.155293,0.159035,0.0917042
12.9,11.0015,10.7635,-1.4967,0.159035,0.0917042
13,10.729,10.2626,-2.93285,0.159035,0.0917042
13.1,10.2012,9.54198,-4.14486,0.159035,0.0917042
13.2,9.44256,8.69401,-4.70679,0.159035,0.0917041
13.3,8.55143,7.88168,-4.21137,0.159035,0.0917042
13.4,7.70047,7.2409,-2.88973,0.159035,0.0917042
13.5,7.0332,6.78917,-1.53447,0.159035,0.0917042
13.6,6.56739,6.45952,-0.678293,0.159035,0.0917042
13.7,6.23153,6.15292,-0.49428,0.159035,0.0917041
13.8,5.92039,5.77235,-0.930886,0.159035,0.0917042
13.9,5.53128,5.26062,-1.70194,0.159035,0.0917042
14,5.00394,4.70157,-1.90134,0.159035,0.0917042
14.1,4.42746,4.41058,-0.106126,0.159035,0.0917042
14.2,4.1355,4.59861,2.91203,0.159035,0.0917041
14.3,4.35024,5.3031,5.99156,0.159035,0.0917042
14.4,5.10967,6.48685,8.65963,0.159035,0.0917042
14.5,6.37284,8.07145,10.6808,0.159035,0.0917042
14.6,8.05538,9.95063,11.9172,0.159035,0.0917042
14.7,10.0438,11.9997,12.2983,0.159035,0.0917041
14.8,12.2057,14.0843,11.8127,0.159035,0.0917042
14.9,14.3986,16.069,10.5031,0.159035,0.0917042
15,16.4796,17.8253,8.46135,0.159035,0.0917042
15.1,18.3135,19.2392,5.82056,0.159035,0.0917042
15.2,19.7808,20.2176,2.74625,0.159035,0.0917041
15.3,20.7843,20.6932,-0.573139,0.159035,0.0917042
15.4,21.2547,20.6291,-3.93422,0.159035,0.0917042
15.5,21.1545,20.0221,-7.12057,0.159035,0.0917042
15.6,20.4823,18.9103,-9.88456,0.159035,0.0917042
15.7,19.2798,17.3944,-11.8553,0.159035,0.0917041
15.8,17.6552,15.7104,-12.2289,0.159035,0.0917042
15.9,15.859,14.2675,-10.0073,0.159035,0.0917042
16,14.3244,13.3202,-6.31403,0.159035,0.0917042
16.1,13.3192,12.8762,-2.78596,0.159035,0.0917042
16.2,12.8496,12.8497,0.000955582,0.159035,0.0917042
16.3,12.8232,13.1308,1.93396,0.159035,0.0917043
16.4,13.1219,13.6083,3.05803,0.159035,0.091704
16.5,13.6275,14.1818,3.48572,0.159035,0.0917041
16.6,14.233,14.7679,3.36339,0.159035,0.0917042
16.7,14.8499,15.3036,2.85226,0.159035,0.0917042
