time,predicted_position,filtered_position,position_error
0.1,40.172,36.2792,-7.70924
0.2,36.241,31.6786,-13.0918
0.3,31.5125,26.417,-18.2268
0.4,25.9912,20.8188,-20.9476
0.5,20.0133,15.9773,-17.371
0.6,14.8036,13.1601,-7.23839
0.7,11.8174,12.6048,3.48259
0.8,11.3476,13.8849,11.1993
0.9,12.9073,16.3042,14.9706
1,15.6967,19.0837,14.9603
1.1,18.8355,21.4852,11.7834
1.2,21.5081,22.912,6.31286
1.3,23.0728,22.9776,-0.43465
1.4,23.1294,21.5509,-7.32778
1.5,21.5604,18.8371,-12.8835
1.6,18.611,15.5574,-14.7363
1.7,15.0777,12.962,-10.4195
1.8,12.3132,11.9267,-1.94187
1.9,11.2481,12.4943,6.38695
2,11.9086,14.283,12.4031
2.1,13.8689,16.7828,15.4991
2.2,16.5733,19.483,15.7427
2.3,19.4727,21.9345,13.5338
2.4,22.0888,23.7848,9.46287
2.5,24.0503,24.7974,4.22584
2.6,25.1108,24.8616,-1.42725
2.7,25.1593,23.9904,-6.77085
2.8,24.2153,22.3096,-11.1524
2.9,22.4172,20.0262,-14.1226
3,19.9882,17.3722,-15.5805
3.1,17.1764,14.5318,-15.8679
3.2,14.1776,11.5826,-15.673
3.3,11.0742,8.50893,-15.5828
3.4,7.84896,5.30877,-15.509
3.5,4.49941,2.31871,-13.3733
3.6,1.3816,0.306819,-6.61662
3.7,-0.693038,-0.366571,2.01654
3.8,-1.34742,0.295457,10.177
3.9,-0.589943,2.13086,16.896
4,1.40326,4.88166,21.6461
4.1,4.35551,8.22239,24.1069
4.2,7.91993,11.7891,24.1578
4.3,11.7103,15.2069,21.8596
4.4,15.3301,18.119,17.4538
4.5,18.4031,20.2141,11.3437
4.6,20.6027,21.2532,4.07764
4.7,21.6794,21.0895,-3.69982
4.8,21.4817,19.6913,-11.235
4.9,19.9802,17.1703,-17.6409
5,17.2972,13.8815,-21.4509
5.1,13.8114,10.6594,-19.8001
5.2,10.4076,8.31558,-13.1447
5.3,7.94317,6.90675,-6.51311
5.4,6.47458,6.15173,-2.02917
5.5,5.70095,5.69961,-0.00847721
5.6,5.24875,5.21974,-0.182355
5.7,4.76722,4.45029,-1.99241
5.8,3.97949,3.23881,-4.65671
5.9,2.7253,1.60827,-7.02312
6,1.03036,-0.126992,-7.27677
6.1,-0.771634,-1.42923,-4.13468
6.2,-2.11179,-2.03014,0.513364
6.3,-2.70799,-2.00591,4.41452
6.4,-2.64328,-1.58494,6.65462
6.5,-2.16129,-1.04109,7.04362
6.6,-1.55284,-0.621714,5.85479
6.7,-1.07977,-0.476507,3.79328
6.8,-0.899779,-0.561852,2.12485
6.9,-0.965639,-0.554295,2.58649
7,-0.934362,0.0207132,6.00542
7.1,-0.304281,1.48065,11.2235
7.2,1.25858,3.89399,16.5712
7.3,3.82389,7.14652,20.8924
7.4,7.26801,11.011,23.5355
7.5,11.3483,15.1985,24.2098
7.6,15.7579,19.3948,22.8685
7.7,20.1638,23.2952,19.69
7.8,24.2449,26.6316,15.0076
7.9,27.7189,29.1918,9.26145
8,30.3639,30.838,2.98096
8.1,32.0375,31.5094,-3.32063
8.2,32.6785,31.2251,-9.13917
8.3,32.3103,30.0694,-14.0906
8.4,31.0255,28.1762,-17.9156
8.5,28.968,25.7064,-20.5084
8.6,26.3101,22.8293,-21.8868
8.7,23.2323,19.7192,-22.0903
8.8,19.9196,16.5673,-21.0785
8.9,16.5744,13.6006,-18.6993
9,13.4362,11.0474,-15.0207
9.1,10.7452,9.05214,-10.646
9.2,8.65237,7.62277,-6.47404
9.3,7.16363,6.6446,-3.26362
9.4,6.15553,5.91566,-1.50826
9.5,5.41277,5.18248,-1.44801
9.6,4.6663,4.17624,-3.08144
9.7,3.63181,2.66265,-6.09403
9.8,2.06232,0.580348,-9.31855
9.9,-0.105431,-1.33853,-7.75363
10,-2.09541,-1.87933,1.35867
10.1,-2.62375,-0.748625,11.7907
10.2,-1.38492,1.97704,21.1398
10.3,1.5346,6.06456,28.484
10.4,5.88333,11.1708,33.2473
10.5,11.2945,16.8717,35.0694
10.6,17.317,22.6884,33.7749
10.7,23.4434,28.1212,29.4134
10.8,29.1459,32.6842,22.2487
10.9,33.913,35.9427,12.763
11,37.2885,37.5524,1.6591
11.1,38.9134,37.3075,-10.0981
11.2,38.5759,35.2213,-21.093
11.3,36.2963,31.7593,-28.5284
11.4,32.5727,28.3278,-26.6916
11.5,28.8964,26.5284,-14.8894
11.6,26.9605,26.7922,-1.05798
11.7,27.2146,28.8695,10.406
11.8,29.3873,32.2713,18.1348
11.9,32.9554,36.4222,21.7987
12,37.3062,40.7373,21.5749
12.1,41.8192,44.6714,17.9348
12.2,45.9177,47.7592,11.5791
12.3,49.1117,49.6434,3.3434
12.4,51.0266,50.0945,-5.86067
12.5,51.4239,49.0218,-15.1043
12.6,50.2127,46.4769,-23.4907
12.7,47.4523,42.6472,-30.2143
12.8,43.3456,37.8523,-34.5415
12.9,38.2339,32.5408,-35.7981
13,32.5941,27.2478,-33.6174
13.1,26.9929,22.4179,-28.7672
13.2,21.8991,18.2177,-23.1486
13.3,17.4867,14.603,-18.1322
13.4,13.7057,11.4797,-13.9972
13.5,10.454,8.7863,-10.4866
13.6,7.66446,6.50346,-7.30028
13.7,5.31469,4.60396,-4.46906
13.8,3.37419,3.00179,-2.34166
13.9,1.75055,1.53394,-1.36204
14,0.270219,-0.0171894,-1.8072
14.1,-1.29749,-1.86316,-3.55686
14.2,-3.17606,-3.99976,-5.17935
14.3,-5.36018,-5.57131,-1.32756
14.4,-6.9439,-5.63729,8.21583
14.5,-6.93453,-3.95934,18.7078
14.6,-5.08503,-0.574129,28.3643
14.7,-1.4397,4.33151,36.289
14.8,3.79872,10.4504,41.8251
14.9,10.3011,17.3783,44.5007
15,17.6371,24.6396,44.0311
15.1,25.3023,31.7184,40.3443
15.2,32.751,38.0929,33.5895
15.3,39.4336,43.2714,24.1322
15.4,44.8334,46.831,12.5612
15.5,48.5082,48.4455,-0.394062
15.6,50.119,47.9132,-13.87
15.7,49.4596,45.1779,-26.923
15.8,46.4773,40.3475,-38.5435
15.9,41.2935,33.8193,-46.9971
16,34.3343,27.8484,-40.7831
16.1,27.9894,24.3049,-23.168
16.2,24.2334,22.7809,-9.1334
16.3,22.6256,22.6508,0.158482
16.4,22.4971,23.2779,4.90976
16.5,23.1691,24.0736,5.68739
16.6,24.017,24.5431,3.30761
16.7,24.5168,24.3268,-1.19457
16.8,24.2896,23.2416,-6.58959
16.9,23.144,21.3398,-11.3446
17,21.1381,18.9829,-13.552
17.1,18.6569,16.7995,-11.6794
17.2,16.3664,15.3215,-6.57073
17.3,14.8281,14.6827,-0.914594
17.4,14.181,14.6974,3.24751
17.5,14.2255,15.0316,5.06884
17.6,14.6062,15.3186,4.47968
17.7,14.9343,15.2376,1.90729
17.8,14.8707,14.5825,-1.81251
17.9,14.199,13.3404,-5.39846
18,12.9074,11.7899,-7.02672
18.1,11.2925,10.4855,-5.07468
18.2,9.94148,9.92896,-0.0787563
18.3,9.38426,10.2752,5.60241
18.4,9.78193,11.3772,10.0308
18.5,10.9758,12.9214,12.2336
18.6,12.6323,14.5256,11.905
18.7,14.3456,15.8017,9.15571
18.8,15.7057,16.4082,4.4174
18.9,16.3527,16.0939,-1.62759
19,16.0234,14.7489,-8.01437
19.1,14.6049,12.5028,-13.2183
19.2,12.2376,9.9638,-14.2977
19.3,9.56755,8.14719,-8.93107
19.4,7.66905,7.52763,-0.889187
19.5,7.04132,8.00063,6.03208
19.6,7.56964,9.23634,10.4801
19.7,8.90145,10.8326,12.1428
19.8,10.6091,12.3868,11.1783
19.9,12.2658,13.5434,8.03367
20,13.4961,14.0297,3.35559
20.1,14.0131,13.6903,-2.02971
20.2,13.6551,12.523,-7.11882
20.3,12.4225,10.7342,-10.616
20.4,10.5364,8.77786,-11.0575
20.5,8.47863,7.17227,-8.21429
20.6,6.79771,6.14267,-4.11885
20.7,5.73034,5.59159,-0.872477
20.8,5.17125,5.26549,0.592556
20.9,4.8506,4.87979,0.183545
21,4.46658,4.20423,-1.64962
21.1,3.77589,3.16012,-3.87192
21.2,2.69627,1.96229,-4.61518
21.3,1.45612,1.15948,-1.86529
21.4,0.636208,1.21981,3.66963
21.5,0.730181,2.24915,9.55121
21.6,1.84712,4.09906,14.16
21.7,3.82688,6.48281,16.7004
21.8,6.36378,9.04983,16.8896
21.9,9.08568,11.4398,14.8028
22,11.6114,13.3346,10.835
22.1,13.6055,14.5198,5.74866
22.2,14.8435,14.9666,0.774541
22.3,15.2974,14.9393,-2.25176
22.4,15.2494,15.0216,-1.43259
22.5,15.3186,15.8537,3.36489
22.6,16.1816,17.79,10.1133
22.7,18.2106,20.8512,16.6043
22.8,21.4241,24.8266,21.395
22.9,25.5957,29.3726,23.7488
23,30.3594,34.0801,23.395
23.1,35.2815,38.5285,20.4171
23.2,39.9171,42.33,15.172
23.3,43.8578,45.1665,8.22949
23.4,46.7697,46.8247,0.345791
23.5,48.4311,47.2242,-7.58919
23.6,48.761,46.4417,-14.5837
23.7,47.8448,44.7285,-19.595
23.8,45.9519,42.49,-21.7681
23.9,43.5137,40.193,-20.8804
24,41.0252,38.2019,-17.753
24.1,38.8714,36.6628,-13.8871
24.2,37.205,35.513,-10.6389
24.3,35.9576,34.557,-8.80676
24.4,34.9207,33.543,-8.66299
24.5,33.8274,32.2249,-10.0761
24.6,32.4169,30.4011,-12.6752
24.7,30.4768,27.9393,-15.9552
24.8,27.8687,24.7925,-19.3434
24.9,24.5445,21.0058,-22.251
25,20.5537,16.7321,-24.0301
25.1,16.0597,12.2816,-23.7562
25.2,11.3914,8.19353,-20.1078
25.3,7.11886,4.88009,-14.0772
25.4,3.67635,2.35518,-8.30744
25.5,1.07523,0.494177,-3.65364
25.6,-0.819275,-0.809841,0.0593244
