time,position
0,7.12118
0.1,13.7055
0.2,17.1947
0.3,17.906
0.4,16.6621
0.5,14.884
0.6,14.4313
0.7,17.1813
0.8,23.9345
0.9,34.0301
1,46.0471
1.1,58.4058
1.2,69.8215
1.3,79.3556
1.4,86.3394
1.5,90.4045
1.6,91.4183
1.7,89.4688
1.8,84.811
1.9,77.7961
2,68.8279
2.1,58.3219
2.2,46.6408
2.3,34.1115
2.4,21.0466
2.5,7.80241
2.6,-5.00931
2.7,-16.0846
2.8,-22.2846
2.9,-20.0756
3,-11.6277
3.1,-1.15115
3.2,9.18119
3.3,18.4189
3.4,26.063
3.5,31.8807
3.6,35.8267
3.7,37.9857
3.8,38.5516
3.9,37.7398
4,35.7303
4.1,32.6083
4.2,28.3583
4.3,22.8534
4.4,15.8589
4.5,7.15783
4.6,-3.40765
4.7,-15.9085
4.8,-30.2128
4.9,-45.3775
5,-29.9451
5.1,-12.4633
5.2,4.82513
5.3,21.1515
5.4,35.6694
5.5,47.5833
5.6,56.1433
5.7,60.6945
5.8,60.7316
5.9,55.9603
6,46.2766
6.1,31.8413
6.2,13.1454
6.3,-8.9374
6.4,-31.4241
6.5,-26.6492
6.6,-1.0269
6.7,24.9652
6.8,48.6748
6.9,68.4954
7,83.0772
7.1,91.3251
7.2,92.5077
7.3,86.344
7.4,73.1181
7.5,53.9516
7.6,31.4661
7.7,12.1718
7.8,9.69599
7.9,29.3746
8,59.1494
8.1,89.9813
8.2,117.453
8.3,138.825
8.4,152.235
8.5,156.497
8.6,151.033
8.7,135.965
8.8,112.056
8.9,80.8022
9,44.7006
9.1,9.02372
9.2,-7.47302
9.3,15.6466
9.4,50.9086
9.5,84.2777
9.6,111.686
9.7,131.169
9.8,141.684
9.9,142.885
10,135.106
10.1,119.201
10.2,96.5303
10.3,68.851
10.4,38.1577
10.5,6.70269
10.6,-22.3734
10.7,-31.7402
10.8,-12.2081
10.9,5.77832
11,18.3552
11.1,25.033
11.2,26.0742
11.3,22.4254
11.4,15.5844
11.5,7.89838
11.6,2.64809
11.7,2.93885
11.8,9.23757
11.9,19.1129
12,29.8352
12.1,39.5823
12.2,47.2923
12.3,52.4073
12.4,54.6527
12.5,53.9478
12.6,50.335
12.7,43.9089
12.8,34.84
12.9,23.3794
13,9.87602
13.1,-5.19633
13.2,-21.2374
13.3,-37.5337
13.4,-39.7575
13.5,-25.2951
13.6,-12.799
13.7,-2.7444
13.8,4.73873
13.9,9.97962
14,13.8352
14.1,17.5789
14.2,22.5388
14.3,29.4641
14.4,38.0751
14.5,47.2397
14.6,55.3515
14.7,60.799
14.8,62.161
14.9,58.3986
15,48.9215
15.1,33.6705
15.2,13.1926
15.3,-11.122
15.4,-32.3726
15.5,-17.1408
15.6,10.8905
15.7,37.6793
15.8,60.4035
15.9,77.2207
16,86.7697
16.1,88.2884
16.2,81.7466
16.3,68.0283
16.4,49.5207
16.5,31.3403
16.6,23.2438
16.7,33.8431
16.8,58.2645
16.9,86.9708
17,113.822
17.1,135.147
17.2,148.591
17.3,152.757
17.4,147.005
17.5,131.49
17.6,107.196
17.7,75.9589
17.8,41.0897
17.9,10.2884
18,4.29042
18.1,29.7013
18.2,63.6381
18.3,95.3583
18.4,120.948
18.5,138.451
18.6,146.901
18.7,146.002
18.8,136.15
18.9,118.298
19,93.9365
19.1,65.1033
19.2,34.6603
19.3,7.83825
19.4,-3.34552
19.5,9.21798
19.6,31.3129
19.7,52.7471
19.8,70.0838
19.9,82.056
20,88.2752
20.1,88.8856
20.2,84.4159
20.3,75.718
20.4,63.7868
20.5,49.8025
20.6,35.0044
20.7,20.6295
20.8,7.95357
20.9,-1.64534
21,-6.77631
21.1,-6.58545
21.2,-1.51653
21.3,7.29296
21.4,18.819
21.5,32.2374
21.6,46.7551
21.7,61.3908
21.8,75.0486
21.9,86.5791
22,94.877
22.1,98.976
22.2,98.1452
22.3,91.9668
22.4,80.3959
22.5,63.8119
22.6,42.9844
22.7,19.1448
22.8,-5.90924
22.9,-27.9321
23,-26.8699
23.1,-8.73342
23.2,7.29046
23.3,17.8961
23.4,21.9069
23.5,18.8942
23.6,9.20247
23.7,-5.57414
23.8,-19.7054
23.9,-15.5838
24,7.08295
24.1,34.267
24.2,60.6043
24.3,83.281
24.4,100.202
24.5,109.836
24.6,111.217
24.7,104.009
24.8,88.6343
24.9,66.3792
25,39.9074
25.1,15.0671
25.2,5.66118
25.3,21.6663
25.4,49.6152
25.5,78.0744
25.6,102.171
25.7,119.496
25.8,128.791
25.9,129.705
26,122.715
26.1,109.122
26.2,91.1376
26.3,72.0074
26.4,55.9919
26.5,47.5124
26.6,48.2448
26.7,55.167
26.8,63.1938
26.9,68.1383
27,67.5171
27.1,60.1117
27.2,45.7733
27.3,25.0673
27.4,-0.822764
