time,angle0,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10,angle11,angle12,angle13,angle14,angle15,angle16,angle17,angle18,angle19,angle20,angle21,angle22,angle23,angle24,distance
0.0000,1.5556,1.4716,1.8456,2.6694,1.3397,2.7509,0.4196,0.4650,-1.4368,-1.9143,-1.7746,2.1757,-2.7930,1.5322,0.6934,-0.7039,-1.0929,-2.5256,-1.9441,-1.2510,-2.1470,-0.4163,-0.0045,2.8369,1.0230,9.9310
0.1000,1.3537,1.3662,1.6775,2.8685,1.2550,2.6363,0.4439,0.6401,-1.2195,-1.9017,-1.6254,2.0326,-2.6267,1.3837,0.6021,-0.4799,-0.8275,-2.6973,-1.8699,-1.0208,-2.3762,-0.5128,0.1738,2.8404,1.0017,12.2846
0.2000,1.1518,1.2609,1.5094,3.0676,1.1702,2.5217,0.4681,0.8152,-1.0021,-1.8892,-1.4763,1.8896,-2.4604,1.2352,0.5108,-0.2559,-0.5622,-2.8689,-1.7957,-0.7907,-2.6054,-0.6093,0.3521,2.8440,0.9803,17.1901
0.3000,0.9499,1.1555,1.3413,-3.0165,1.0854,2.4071,0.4923,0.9902,-0.7848,-1.8766,-1.3272,1.7466,-2.2941,1.0867,0.4195,-0.0319,-0.2969,-3.0406,-1.7215,-0.5605,-2.8346,-0.7057,0.5303,2.8476,0.9590,22.8099
0.4000,0.7480,1.0502,1.1732,-2.8174,1.0006,2.2926,0.5166,1.1653,-0.5675,-1.8640,-1.1780,1.6035,-2.1278,0.9382,0.3282,0.1921,-0.0316,3.0709,-1.6472,-0.3304,-3.0638,-0.8022,0.7086,2.8512,0.9376,28.3030
0.5000,0.5462,0.9448,1.0051,-2.6183,0.9159,2.1780,0.5408,1.3403,-0.3501,-1.8515,-1.0289,1.4605,-1.9615,0.7897,0.2369,0.4161,0.2338,2.8992,-1.5730,-0.1002,2.9902,-0.8987,0.8869,2.8547,0.9163,33.2330
0.6000,0.3443,0.8394,0.8369,-2.4192,0.8311,2.0634,0.5650,1.5154,-0.1328,-1.8389,-0.8797,1.3174,-1.7952,0.6412,0.1456,0.6402,0.4991,2.7275,-1.4988,0.1299,2.7610,-0.9951,1.0651,2.8583,0.8949,37.3161
0.7000,0.1424,0.7341,0.6688,-2.2201,0.7463,1.9488,0.5893,1.6904,0.0846,-1.8263,-0.7306,1.1744,-1.6289,0.4927,0.0543,0.8642,0.7644,2.5559,-1.4246,0.3601,2.5318,-1.0916,1.2434,2.8619,0.8736,40.3529
0.8000,-0.0595,0.6287,0.5007,-2.0209,0.6615,1.8342,0.6135,1.8655,0.3019,-1.8138,-0.5815,1.0313,-1.4626,0.3442,-0.0369,1.0882,1.0298,2.3842,-1.3504,0.5902,2.3027,-1.1880,1.4217,2.8654,0.8522,42.2125
0.9000,-0.2614,0.5234,0.3326,-1.8218,0.5768,1.7196,0.6377,2.0406,0.5193,-1.8012,-0.4323,0.8883,-1.2963,0.1957,-0.1282,1.3122,1.2951,2.2125,-1.2762,0.8204,2.0735,-1.2845,1.5999,2.8690,0.8309,42.8322
1.0000,-0.4632,0.4180,0.1645,-1.6227,0.4920,1.6050,0.6619,2.2156,0.7366,-1.7886,-0.2832,0.7452,-1.1300,0.0472,-0.2195,1.5362,1.5604,2.0408,-1.2019,1.0505,1.8443,-1.3810,1.7782,2.8726,0.8096,42.2220
1.1000,-0.6651,0.3127,-0.0036,-1.4236,0.4072,1.4904,0.6862,2.3907,0.9539,-1.7760,-0.1341,0.6022,-0.9637,-0.1013,-0.3108,1.7602,1.8258,1.8692,-1.1277,1.2807,1.6151,-1.4774,1.9565,2.8761,0.7882,40.4731
1.2000,-0.8670,0.2073,-0.1718,-1.2245,0.3225,1.3759,0.7104,2.5657,1.1713,-1.7635,0.0151,0.4591,-0.7974,-0.2498,-0.4021,1.9842,2.0911,1.6975,-1.0535,1.5108,1.3859,-1.5739,2.1347,2.8797,0.7669,37.7691
1.3000,-1.0689,0.1020,-0.3399,-1.0254,0.2377,1.2613,0.7346,2.7408,1.3886,-1.7509,0.1642,0.3161,-0.6311,-0.3983,-0.4934,2.2082,2.3564,1.5258,-0.9793,1.7410,1.1567,-1.6704,2.3130,2.8833,0.7455,34.4045
1.4000,-1.2707,-0.0034,-0.5080,-0.8263,0.1529,1.1467,0.7589,2.9158,1.6060,-1.7383,0.3134,0.1730,-0.4648,-0.5468,-0.5847,2.4322,2.6218,1.3541,-0.9051,1.9711,0.9275,-1.7668,2.4913,2.8869,0.7242,30.8123
1.5000,-1.4726,-0.1087,-0.6761,-0.6272,0.0681,1.0321,0.7831,3.0909,1.8233,-1.7258,0.4625,0.0300,-0.2985,-0.6953,-0.6760,2.6562,2.8871,1.1825,-0.8309,2.2013,0.6983,-1.8633,2.6695,2.8904,0.7028,27.5892
1.6000,-1.6745,-0.2141,-0.8442,-0.4281,-0.0166,0.9175,0.8073,-3.0172,2.0407,-1.7132,0.6116,-0.1130,-0.1322,-0.8438,-0.7673,2.8802,-3.1308,1.0108,-0.7566,2.4314,0.4691,-1.9598,2.8478,2.8940,0.6815,25.4542
1.7000,-1.8764,-0.3194,-1.0123,-0.2290,-0.1014,0.8029,0.8315,-2.8422,2.2580,-1.7006,0.7608,-0.2561,0.0341,-0.9923,-0.8585,3.1043,-2.8654,0.8391,-0.6824,2.6616,0.2399,-2.0562,3.0261,2.8976,0.6601,25.0060
1.8000,-2.0783,-0.4248,-1.1805,-0.0299,-0.1862,0.6883,0.8558,-2.6671,2.4753,-1.6881,0.9099,-0.3991,0.2004,-1.1407,-0.9498,-2.9549,-2.6001,0.6674,-0.6082,2.8917,0.0108,-2.1527,-3.0789,2.9011,0.6388,26.3274
1.9000,-2.2801,-0.5301,-1.3486,0.1692,-0.2709,0.5737,0.8800,-2.4921,2.6927,-1.6755,1.0590,-0.5422,0.3667,-1.2892,-1.0411,-2.7309,-2.3348,0.4957,-0.5340,3.1219,-0.2184,-2.2492,-2.9006,2.9047,0.6174,28.9059
2.0000,-2.4820,-0.6355,-1.5167,0.3683,-0.3557,0.4592,0.9042,-2.3170,2.9100,-1.6629,1.2082,-0.6852,0.5330,-1.4377,-1.1324,-2.5069,-2.0695,0.3241,-0.4598,-2.9312,-0.4476,-2.3456,-2.7223,2.9083,0.5961,31.9976
2.1000,-2.6839,-0.7408,-1.6848,0.5674,-0.4405,0.3446,0.9285,-2.1419,3.1274,-1.6503,1.3573,-0.8283,0.6993,-1.5862,-1.2237,-2.2829,-1.8041,0.1524,-0.3856,-2.7010,-0.6768,-2.4421,-2.5441,2.9119,0.5747,34.9486
2.2000,-2.8858,-0.8462,-1.8529,0.7665,-0.5253,0.2300,0.9527,-1.9669,-2.9385,-1.6378,1.5065,-0.9713,0.8656,-1.7347,-1.3150,-2.0589,-1.5388,-0.0193,-0.3113,-2.4709,-0.9060,-2.5385,-2.3658,2.9154,0.5534,37.2830
2.3000,-3.0877,-0.9515,-2.0210,0.9656,-0.6100,0.1154,0.9769,-1.7918,-2.7211,-1.6252,1.6556,-1.1144,1.0319,-1.8832,-1.4063,-1.8349,-1.2735,-0.1910,-0.2371,-2.2407,-1.1352,-2.6350,-2.1875,2.9190,0.5321,38.6828
2.4000,2.9936,-1.0569,-2.1892,1.1647,-0.6948,0.0008,1.0011,-1.6168,-2.5038,-1.6126,1.8047,-1.2574,1.1982,-2.0317,-1.4976,-1.6109,-1.0081,-0.3626,-0.1629,-2.0106,-1.3644,-2.7315,-2.0093,2.9226,0.5107,38.9547
2.5000,2.7918,-1.1622,-2.3573,1.3638,-0.7796,-0.1138,1.0254,-1.4417,-2.2864,-1.6001,1.9539,-1.4005,1.3645,-2.1802,-1.5889,-1.3869,-0.7428,-0.5343,-0.0887,-1.7804,-1.5936,-2.8279,-1.8310,2.9261,0.4894,38.0066
2.6000,2.5899,-1.2676,-2.5254,1.5630,-0.8643,-0.2284,1.0496,-1.2667,-2.0691,-1.5875,2.1030,-1.5435,1.5308,-2.3287,-1.6801,-1.1628,-0.4775,-0.7060,-0.0145,-1.5503,-1.8228,-2.9244,-1.6527,2.9297,0.4680,35.8319
2.7000,2.3880,-1.3729,-2.6935,1.7621,-0.9491,-0.3430,1.0738,-1.0916,-1.8518,-1.5749,2.2521,-1.6866,1.6971,-2.4772,-1.7714,-0.9388,-0.2121,-0.8777,0.0597,-1.3201,-2.0519,-3.0209,-1.4745,2.9333,0.4467,32.4981
2.8000,2.1861,-1.4783,-2.8616,1.9612,-1.0339,-0.4575,1.0981,-0.9165,-1.6344,-1.5624,2.4013,-1.8296,1.8634,-2.6257,-1.8627,-0.7148,0.0532,-1.0493,0.1340,-1.0900,-2.2811,-3.1173,-1.2962,2.9368,0.4253,28.1389
