time,x0,y0,x1,y1,x2,y2,distance
0.0000,-1.6809,2.3866,-0.9183,-2.5814,-2.9432,0.9880,3.1046
0.1000,-2.6097,1.3080,-3.7365,-3.5903,-5.0286,0.3047,5.0378
0.2000,-2.9180,-0.0816,-5.7747,-4.2170,-6.2847,-0.1452,6.2864
0.3000,-2.5325,-1.4518,-6.7149,-4.2393,-6.4234,-0.1459,6.4251
0.4000,-1.5449,-2.4768,-6.4612,-3.5219,-5.3793,0.4366,5.3970
0.5000,-0.1899,-2.9130,-5.1445,-2.0677,-3.3135,1.6048,3.6816
0.6000,1.2102,-2.6565,-3.0816,-0.0406,-0.5714,3.2057,3.2563
0.7000,2.3225,-1.7684,-0.6992,2.2480,2.3945,4.9442,5.4935
0.8000,2.8827,-0.4599,1.5586,4.3887,5.1175,6.4319,8.2194
0.9000,2.7575,0.9580,3.3184,5.9528,7.2067,7.2649,10.2330
1.0000,1.9766,2.1481,4.3432,6.5823,8.4124,7.1132,11.0166
1.1000,0.7258,2.8275,4.5631,6.0736,8.6579,5.8031,10.4228
1.2000,-0.6975,2.8346,4.0675,4.4334,8.0316,3.3718,8.7106
1.3000,-1.9551,2.1677,3.0636,1.8930,6.7455,0.0808,6.7459
1.4000,-2.7478,0.9855,1.8143,-1.1240,5.0735,-3.6175,6.2311
1.5000,-2.8871,-0.4311,0.5728,-4.0767,3.2849,-7.1565,7.8744
1.6000,-2.3401,-1.7451,-0.4718,-6.4112,1.5896,-9.9595,10.0856
1.7000,-1.2366,-2.6443,-1.2244,-7.6704,0.1077,-11.5519,11.5524
1.8000,0.1608,-2.9147,-1.6847,-7.5898,-1.1328,-11.6562,11.7112
1.9000,1.5201,-2.4922,-1.9221,-6.1547,-2.1716,-10.2508,10.4783
2.0000,2.5179,-1.4771,-2.0338,-3.6088,-3.0751,-7.5782,8.1783
2.1000,2.9170,-0.1108,-2.1002,-0.4100,-3.8935,-4.1012,5.6550
2.2000,2.6227,1.2818,-2.1502,2.8574,-4.6270,-0.4146,4.6456
