time, running_average(5), position_error, PI_output, smoothed_output, PID_out, kalman_estimate, kalman_gain
0,7.12118,-0,0,0,0,7.05067,0.990099
0.1,10.4134,3.29217,-3.62139,-0.905348,-0.905348,10.3632,0.497764
0.2,12.6738,4.5209,-5.30221,-2.00456,-2.00456,12.6366,0.332784
0.3,13.9819,3.92414,-5.09786,-2.77789,-2.77789,13.9553,0.250253
0.4,14.5179,2.14423,-3.53238,-2.96651,-2.96651,14.4988,0.200801
0.5,16.0705,-1.18646,-0.0830404,-2.24564,-2.24564,14.5635,0.167916
0.6,16.2156,-1.78429,0.693225,-1.51093,-1.51093,14.5444,0.144506
0.7,16.213,0.968327,-2.15623,-1.67225,-1.67225,14.8794,0.127024
0.8,17.4186,6.51581,-8.35529,-3.34301,-3.34301,15.9071,0.113494
0.9,20.8922,13.1379,-16.2912,-6.58005,-6.58005,17.7689,0.102732
1,27.1249,18.9222,-23.9677,-10.927,-10.927,20.4265,0.0939826
1.1,35.9198,22.4861,-29.7802,-15.6403,-15.6403,23.721,0.0867435
1.2,46.4478,23.3737,-33.0052,-19.9815,-19.9815,27.4397,0.0806656
1.3,57.532,21.8235,-33.6374,-23.3955,-23.3955,31.3594,0.0754999
1.4,67.9939,18.3455,-31.9939,-25.5451,-25.5451,35.2664,0.0710635
1.5,76.8654,13.5392,-28.5415,-26.2942,-26.2942,38.9728,0.0672195
1.6,83.4678,7.95042,-23.7478,-25.6576,-25.6576,42.3221,0.0638628
1.7,87.3973,2.0715,-18.076,-23.7622,-23.7622,45.1939,0.0609119
1.8,88.4884,-3.67738,-11.9594,-20.8115,-20.8115,47.5037,0.0583023
1.9,86.7797,-8.9836,-5.75478,-17.0473,-17.0473,49.1995,0.0559824
2,82.4644,-13.6365,0.261754,-12.72,-12.72,50.2577,0.0539104
2.1,75.8452,-17.5232,5.90082,-8.06482,-8.06482,50.6774,0.0520522
2.2,67.2796,-20.6388,11.0803,-3.27855,-3.27855,50.4741,0.0503795
2.3,57.1397,-23.0281,15.7724,1.48419,1.48419,49.6745,0.0488686
