time,measured_position,estimated_position, error, L1, L2, estimated_velocity
0.1,41.3666,41.0361,0.661068,0.5,0.1,0.0661068
0.2,39.819,40.4308,-1.22369,0.5,0.1,-0.0562622
0.3,36.1315,38.2783,-4.29373,0.5,0.1,-0.485635
0.4,30.5306,34.3802,-7.69919,0.5,0.1,-1.25555
0.5,23.3956,28.8251,-10.859,0.5,0.1,-2.34145
0.6,15.2486,21.9198,-13.3423,0.5,0.1,-3.67569
0.7,6.82431,14.1883,-14.7279,0.5,0.1,-5.14848
0.8,-0.558268,6.55758,-14.2317,0.5,0.1,-6.57165
0.9,-3.37485,1.26278,-9.27526,0.5,0.1,-7.49918
1,0.198193,0.35553,-0.314673,0.5,0.1,-7.53064
1.1,5.01289,2.30768,5.41043,0.5,0.1,-6.9896
1.2,8.6765,5.14261,7.06778,0.5,0.1,-6.28282
1.3,10.5638,7.53907,6.04949,0.5,0.1,-5.67787
1.4,10.5154,8.74335,3.54413,0.5,0.1,-5.32346
1.5,8.64209,8.42654,0.431083,0.5,0.1,-5.28035
1.6,5.28492,6.59172,-2.61359,0.5,0.1,-5.54171
1.7,1.10995,3.57375,-4.92759,0.5,0.1,-6.03447
1.8,-2.47475,0.247775,-5.44505,0.5,0.1,-6.57898
1.9,-2.81876,-1.61444,-2.40864,0.5,0.1,-6.81984
2,0.418513,-0.938957,2.71494,0.5,0.1,-6.54835
2.1,4.55328,1.47974,6.14707,0.5,0.1,-5.93364
2.2,7.99494,4.44066,7.10856,0.5,0.1,-5.22278
2.3,10.0221,6.97025,6.10374,0.5,0.1,-4.61241
2.4,10.2542,8.38161,3.74521,0.5,0.1,-4.23789
2.5,8.53173,8.24478,0.573901,0.5,0.1,-4.1805
2.6,4.87165,6.34919,-2.95508,0.5,0.1,-4.47601
2.7,-0.552223,2.67468,-6.45381,0.5,0.1,-5.12139
2.8,-7.41539,-2.62642,-9.57793,0.5,0.1,-6.07918
2.9,-8.08643,-5.66038,-4.85208,0.5,0.1,-6.56439
3,0.315613,-3.0006,6.63244,0.5,0.1,-5.90114
3.1,8.70909,2.55919,12.2998,0.5,0.1,-4.67116
3.2,16.5524,9.32226,14.4604,0.5,0.1,-3.22513
3.3,23.3617,16.1807,14.362,0.5,0.1,-1.78893
3.4,28.7289,22.3654,12.7271,0.5,0.1,-0.516225
3.5,32.3589,27.3363,10.0451,0.5,0.1,0.488289
3.6,34.087,30.7361,6.7019,0.5,0.1,1.15848
3.7,33.892,32.372,3.04009,0.5,0.1,1.46249
3.8,31.8906,32.2044,-0.627596,0.5,0.1,1.39973
3.9,28.3263,30.3353,-4.01812,0.5,0.1,0.997917
4,23.5507,26.9929,-6.8844,0.5,0.1,0.309477
4.1,17.9814,22.5027,-9.04246,0.5,0.1,-0.594768
4.2,12.0784,17.2608,-10.3648,0.5,0.1,-1.63125
4.3,6.29484,11.6963,-10.8028,0.5,0.1,-2.71153
4.4,1.03415,6.22962,-10.391,0.5,0.1,-3.75062
4.5,-3.36065,1.24696,-9.21521,0.5,0.1,-4.67215
4.6,-6.52425,-2.87226,-7.304,0.5,0.1,-5.40255
