time,measured_position,predicted_position,filtered_position,position_error
0.1,-41.0052,24.3461,-8.6531,-65.3513
0.2,17.256,-8.97662,0.165235,26.2326
0.3,1.68178,0.0980911,0.540828,1.58369
0.4,24.4066,0.496249,6.40018,23.9103
0.5,-40.6045,6.78903,-4.22236,-47.3935
0.6,17.7599,-4.83813,0.29261,22.598
0.7,1.78171,0.204314,0.56093,1.57739
0.8,24.4646,0.511378,5.93814,23.9532
0.9,-40.2017,6.48658,-4.10708,-46.6882
1,18.255,-4.71278,0.487191,22.9678
1.1,1.87258,0.433007,0.756721,1.43957
1.2,24.5195,0.735664,6.02481,23.7839
1.3,-39.7979,6.52351,-3.62815,-46.3214
1.4,18.7402,-4.08543,0.831633,22.8256
1.5,1.9542,0.817939,1.05812,1.13626
1.6,24.572,1.0652,5.93611,23.5068
1.7,-39.3933,6.34778,-2.94008,-45.7411
1.8,19.2156,-3.27076,1.20395,22.4864
1.9,2.02617,1.21822,1.37586,0.807952
2,24.6214,1.40189,5.84698,23.2195
2.1,-38.9875,6.19423,-2.30016,-45.1817
2.2,19.6806,-2.54956,1.55913,22.2302
2.3,2.0887,1.59097,1.68151,0.497734
2.4,24.6684,1.7194,5.83253,22.949
2.5,-38.5832,6.13981,-1.76731,-44.723
2.6,20.1352,-1.96837,1.89111,22.1036
2.7,2.14176,1.93414,1.96998,0.207627
2.8,24.7112,2.01524,5.89331,22.696
2.9,-38.1772,6.17729,-1.33175,-44.3545
3,20.5787,-1.50501,2.20282,22.0837
3.1,2.18421,2.25324,2.24173,-0.0690331
3.2,24.7522,2.29146,6.01041,22.4608
3.3,-37.7728,6.28118,-0.971051,-44.054
3.4,21.0113,-1.12886,2.49745,22.1402
3.5,2.21774,2.55291,2.49826,-0.335165
3.6,24.7899,2.55052,6.163,22.2394
3.7,-37.3685,6.42618,-0.663975,-43.7947
3.8,21.4321,-0.813641,2.7775,22.2458
3.9,2.24017,2.83648,2.74045,-0.596303
4,24.8242,2.79386,6.334,22.0304
4.1,-36.9655,6.59243,-0.394525,-43.5579
4.2,21.8414,-0.540279,3.04444,22.3817
4.3,2.25273,3.10588,2.96941,-0.853151
4.4,24.855,3.02296,6.51148,21.8321
4.5,-36.5646,6.76641,-0.151228,-43.331
4.6,22.2372,-0.295473,3.29914,22.5327
4.7,2.25628,3.36226,3.18593,-1.10598
4.8,24.8829,3.23888,6.68789,21.644
4.9,-36.166,6.93973,0.0735865,-43.1057
5,22.6215,-0.0704771,3.54283,22.692
5.1,2.25102,3.6071,3.39123,-1.35608
5.2,24.9066,3.44305,6.85911,21.4636
5.3,-35.7684,7.10788,0.285047,-42.8762
5.4,22.9929,0.140459,3.77643,22.8524
5.5,2.23201,3.84147,3.58542,-1.60946
5.6,24.9276,3.63569,7.02273,21.292
5.7,-35.3733,7.26829,0.485469,-42.6416
5.8,23.3507,0.339954,3.99999,23.0107
5.9,2.20567,4.0655,3.76969,-1.85983
6,24.945,3.81815,7.17831,21.1269
6.1,-34.9836,7.42051,0.676414,-42.4041
6.2,23.6943,0.52975,4.21387,23.1646
6.3,2.16635,4.27963,3.94354,-2.11328
6.4,24.9591,3.98992,7.32482,20.9692
6.5,-34.5942,7.5635,0.858855,-42.1577
6.6,24.0251,0.710932,4.41873,23.3142
6.7,2.11944,4.48461,4.10846,-2.36517
6.8,24.9694,4.15265,7.46326,20.8168
6.9,-34.2109,7.69834,1.03328,-41.9093
7,24.3406,0.884041,4.61447,23.4566
7.1,2.06311,4.68033,4.2641,-2.61722
7.2,24.9751,4.30597,7.59309,20.6691
7.3,-33.8275,7.8245,1.20036,-41.652
7.4,24.6428,1.0498,4.80193,23.593
7.5,1.99645,4.86773,4.4111,-2.87129
7.6,24.978,4.45057,7.71516,20.5275
7.7,-33.4497,7.94288,1.35999,-41.3926
7.8,24.9301,1.20812,4.98076,23.722
7.9,1.91279,5.04643,4.54807,-3.13364
8,24.9782,4.585,7.82824,20.3932
8.1,-33.0774,8.05219,1.51113,-41.1296
8.2,25.2034,1.3579,5.15018,23.8455
8.3,1.82433,5.21563,4.67629,-3.3913
8.4,24.9714,4.71064,7.93281,20.2607
8.5,-32.7075,8.15296,1.65471,-40.8604
8.6,25.4601,1.50015,5.31062,23.96
8.7,1.72826,5.37578,4.7957,-3.64752
8.8,24.9641,4.82741,8.02985,20.1367
8.9,-32.3469,8.24622,1.79049,-40.5931
9,25.7048,1.63461,5.46262,24.0702
9.1,1.61634,5.52747,4.90546,-3.91113
9.2,24.9523,4.93445,8.11798,20.0178
9.3,-31.9869,8.33054,1.91865,-40.3175
9.4,25.9321,1.76148,5.60544,24.1706
9.5,1.49677,5.66993,5.00625,-4.17316
9.6,24.9377,5.03246,8.19808,19.9052
9.7,-31.632,8.40683,2.03926,-40.0389
9.8,26.1437,1.88084,5.73949,24.2629
9.9,1.36438,5.80357,5.09758,-4.43919
