time, running_average(5), position_error, PI_output, smoothed_output, total_output
0,-0.027262,0.109048,0.110138,0.0550691,-0.165207
0.5,-0.779571,2.98197,3.01288,0.794523,-3.80741
1,-0.410035,-2.25772,-2.24938,0.0335466,2.21584
1.5,-0.571729,0.236742,0.247443,0.0870206,-0.334463
2,-0.0426992,-2.68785,-2.70403,-0.610741,3.31477
2.5,-0.366771,1.3899,1.38762,-0.111151,-1.27647
3,-0.152093,2.53606,2.55914,0.556423,-3.11557
3.5,-0.157717,-1.97728,-1.97397,-0.0761756,2.05015
4,0.174835,-0.679452,-0.682938,-0.227866,0.910804
4.5,-0.14178,-1.20386,-1.21938,-0.475745,1.69513
5,0.122849,0.556376,0.546416,-0.220205,-0.326211
5.5,1.84051,-4.05962,-4.11018,-1.1927,5.30288
6,2.16558,-1.27937,-1.34272,-1.2302,2.57293
6.5,1.08366,5.63899,5.63203,0.485353,-6.11738
7,1.63028,-2.16487,-2.19348,-0.184355,2.37784
7.5,1.54927,2.38785,2.38312,0.457512,-2.84063
8,-1.19997,6.64607,6.7078,2.02008,-8.72788
8.5,-2.90698,2.18315,2.26671,2.08174,-4.34845
9,-2.48547,-0.0377014,0.0454829,1.57268,-1.61816
9.5,-2.96898,-4.3466,-4.30688,0.102787,4.20409
10,-3.82557,1.29594,1.34862,0.414245,-1.76286
10.5,-1.09404,-6.90563,-6.92201,-1.41982,8.34182
11,1.44846,-6.17392,-6.25204,-2.62787,8.87991
11.5,2.50553,-0.332052,-0.41349,-2.07428,2.48777
12,3.27232,-1.93922,-2.04005,-2.06572,4.10577
12.5,4.74954,2.48493,2.40894,-0.947054,-1.46189
13,4.15715,1.30752,1.24461,-0.399137,-0.845478
13.5,0.974689,9.2646,9.29434,2.02423,-11.3186
14,-0.699784,4.835,4.91309,2.74645,-7.65954
14.5,-2.20383,0.104869,0.184008,2.10584,-2.28984
15,-4.08288,3.04776,3.15738,2.36872,-5.5261
15.5,-4.96605,-3.39984,-3.32422,0.945485,2.37874
16,-3.56296,-2.2885,-2.23576,0.150173,2.08559
16.5,-1.46761,-6.40956,-6.42092,-1.4926,7.91353
17,0.117436,-5.4991,-5.56545,-2.51081,8.07627
17.5,2.02923,-0.399083,-0.469428,-2.00047,2.4699
18,3.4941,-2.26408,-2.35706,-2.08962,4.44668
18.5,4.33513,1.40444,1.3255,-1.23584,-0.0896571
19,3.11377,4.27864,4.24249,0.133743,-4.37623
19.5,1.07926,5.63529,5.65549,1.51418,-7.16967
20,0.265672,1.90529,1.94454,1.62177,-3.5663
20.5,-0.729342,-1.51245,-1.48833,0.844245,0.644082
21,-3.15031,6.02382,6.10818,2.16023,-8.26841
21.5,-2.81859,-3.31231,-3.26106,0.804906,2.45616
22,-1.26639,-4.47136,-4.46483,-0.512528,4.97736
22.5,-1.24674,0.294627,0.304102,-0.30837,0.00426847
23,-1.12421,-2.51998,-2.5357,-0.865203,3.40091
23.5,0.82217,0.26441,0.251328,-0.58607,0.334742
24,1.54688,-2.57038,-2.60917,-1.09184,3.70101
24.5,0.0712618,4.24438,4.24803,0.243125,-4.49116
25,0.450069,0.0973983,0.102031,0.207852,-0.309883
25.5,0.923568,-2.83969,-2.86346,-0.559976,3.42343
26,0.581656,1.73346,1.72703,0.0117749,-1.7388
26.5,0.133216,-1.74184,-1.76569,-0.432592,2.19828
27,0.775298,1.738,1.73153,0.108439,-1.83997
27.5,1.63655,-3.02239,-3.05908,-0.683441,3.74252
28,0.693001,1.6475,1.62728,-0.105761,-1.52152
28.5,0.203918,3.80113,3.81893,0.875411,-4.69434
29,-0.347935,0.536271,0.559428,0.796415,-1.35584
29.5,-1.12295,3.71483,3.77513,1.54109,-5.31623
30,-2.53036,-0.152241,-0.0934576,1.13246,-1.039
30.5,-3.06702,0.570754,0.635244,1.00815,-1.6434
31,-2.31653,-2.47177,-2.432,0.148116,2.28388
31.5,-0.920725,-7.01553,-7.04591,-1.65039,8.69631
32,0.149948,-0.365637,-0.399676,-1.33771,1.73739
32.5,1.55886,-3.10759,-3.17271,-1.79646,4.96917
33,3.77962,-3.68639,-3.78837,-2.29444,6.08281
33.5,4.53401,0.606815,0.510904,-1.5931,1.0822
34,2.75114,5.57067,5.53047,0.18779,-5.71826
34.5,1.71896,6.3643,6.38774,1.73778,-8.12551
35,1.02644,-0.177444,-0.15578,1.26439,-1.10861
35.5,-2.6413,8.23142,8.3354,3.03214,-11.3675
36,-4.74378,1.84143,1.96383,2.76506,-4.72889
36.5,-3.87022,-5.41852,-5.35031,0.736219,4.61409
37,-3.39075,-1.14275,-1.08597,0.280672,0.805296
37.5,-3.20661,-5.3312,-5.32773,-1.12143,6.44916
38,-0.451219,-3.35545,-3.38554,-1.68746,5.07299
38.5,3.03997,-7.83074,-7.93913,-3.25038,11.1895
39,3.33004,0.331381,0.226301,-2.38121,2.1549
39.5,3.8467,3.51139,3.44143,-0.925548,-2.51588
40,3.98563,1.16636,1.10806,-0.417146,-0.690915
40.5,2.82376,5.7289,5.72789,1.11911,-6.847
41,0.0506442,3.04551,3.07495,1.60807,-4.68303
41.5,-1.95256,5.06482,5.14491,2.49228,-7.63719
42,-2.35939,-0.66056,-0.587075,1.72244,-1.13537
42.5,-3.09125,-2.25124,-2.20026,0.741766,1.4585
43,-3.31915,0.725511,0.783738,0.752259,-1.536
43.5,-2.09294,-5.22912,-5.22318,-0.741602,5.96479
44,-0.0767871,-3.14017,-3.16564,-1.34761,4.51325
44.5,0.899049,-2.2813,-2.32958,-1.5931,3.92268
45,1.09778,0.944145,0.905308,-0.9685,0.0631921
45.5,1.68413,2.79703,2.78617,-0.0298335,-2.75633
46,2.09121,-3.08038,-3.12205,-0.802889,3.92494
46.5,0.992221,3.42378,3.41635,0.251921,-3.66827
47,-0.147918,2.37243,2.38872,0.786122,-3.17484
47.5,0.320703,-2.17603,-2.1815,0.0442157,2.13729
48,0.714206,-0.140405,-0.147278,-0.00365781,0.150936
48.5,-0.454177,0.216143,0.211431,0.0501145,-0.261546
49,-0.613517,2.61475,2.63618,0.696632,-3.33282
49.5,1.11899,-5.02321,-5.052,-0.740527,5.79253
50,-0.308676,4.33293,4.34746,0.531471,-4.87893
50.5,-1.70944,4.43977,4.4987,1.52328,-6.02198
51,-1.25144,-2.8711,-2.84088,0.432237,2.40865
51.5,-1.16175,1.61807,1.66447,0.740295,-2.40476
52,-2.34147,-2.5851,-2.56455,-0.0859164,2.65047
52.5,-1.59251,-0.695692,-0.682099,-0.234962,0.917062
53,0.770573,-4.89564,-4.93101,-1.40897,6.33998
53.5,1.38463,-3.30532,-3.37374,-1.90016,5.27391
54,2.34207,0.334696,0.269626,-1.35772,1.08809
54.5,3.32428,-1.83037,-1.91375,-1.49672,3.41047
55,3.47624,3.61323,3.56599,-0.231045,-3.33495
55.5,2.24012,2.75449,2.7348,0.510415,-3.24521
56,-0.0451688,6.69134,6.73855,2.06745,-8.806
56.5,-1.75262,4.77724,4.87223,2.76864,-7.64087
57,-3.10936,-1.48029,-1.4001,1.72646,-0.326358
57.5,-4.20284,1.40154,1.49575,1.66878,-3.16453
58,-4.48609,-2.55545,-2.4868,0.629884,1.85692
58.5,-2.66618,-5.02925,-5.01089,-0.78031,5.7912
59,-0.187425,-6.05132,-6.09348,-2.1086,8.20208
59.5,1.54357,-5.48235,-5.57933,-2.97628,8.55561
60,2.87011,1.84181,1.76324,-1.7914,0.0281613
60.5,4.95553,-3.54091,-3.65488,-2.25727,5.91215
61,4.68223,3.68562,3.6085,-0.790828,-2.81768
61.5,2.33297,8.21539,8.22042,1.46199,-9.68241
62,0.406244,3.01396,3.04914,1.85877,-4.90791
62.5,-0.433491,2.73688,2.79943,2.09394,-4.89336
63,-2.92573,1.03902,1.11196,1.84844,-2.9604
63.5,-4.97643,4.28048,4.39622,2.48539,-6.88161
64,-3.04137,-6.83429,-6.78689,0.167317,6.61958
64.5,-1.96406,-4.74288,-4.74291,-1.06024,5.80315
65,-1.63861,-0.0954854,-0.0964712,-0.819297,0.915768
65.5,0.458535,-6.06244,-6.12405,-2.14548,8.26953
66,2.82306,0.257371,0.198335,-1.55953,1.3612
66.5,2.68096,-0.401492,-0.464543,-1.28578,1.75033
67,1.7108,3.78279,3.75757,-0.024945,-3.73262
67.5,2.06235,1.84772,1.84097,0.441535,-2.28251
68,1.04508,-0.389539,-0.400181,0.231106,0.169075
68.5,-0.187404,3.40932,3.43277,1.03152,-4.46429
69,-1.10608,0.404864,0.432364,0.881733,-1.3141
69.5,-0.844395,-0.0808452,-0.0541535,0.647761,-0.593608
70,-0.415213,-2.77575,-2.77682,-0.208383,2.9852
