time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
0.5,2.34082,-0.216784,-4.58745,0.557522,0.221239
1,-0.724246,0.022087,1.48265,0.503379,0.333198
1.5,-0.238367,-0.690798,-0.896847,0.504468,0.335035
2,-1.10149,-0.595116,1.03012,0.491568,0.289648
2.5,-0.856621,0.885589,3.74523,0.465181,0.238956
3,1.07156,0.305166,-1.76362,0.434555,0.196618
3.5,0.317753,1.14443,2.04066,0.405103,0.164311
4,1.32467,1.33944,0.0389844,0.379021,0.140467
4.5,1.52242,0.592938,-2.60426,0.356909,0.123133
5,0.615579,0.0772219,-1.58953,0.33869,0.11067
5.5,0.0119065,-0.378802,-1.20581,0.324022,0.10182
6,-0.505505,-2.08152,-5.0437,0.312471,0.0956401
6.5,-2.44941,-3.55105,-3.62874,0.303587,0.0914219
7,-4.08481,-0.0483499,13.5942,0.296926,0.088627
7.5,0.0202892,1.91802,6.49743,0.292074,0.0868452
8,2.2688,-1.10747,-11.6967,0.288651,0.0857652
8.5,-1.25828,-3.3477,-7.29744,0.286322,0.0851537
9,-3.80921,-3.14159,2.34415,0.284801,0.0848406
9.5,-3.50367,-3.22949,0.965899,0.283853,0.0847058
10,-3.55066,-3.52318,0.0969996,0.283295,0.0846684
10.5,-3.84024,-0.692065,11.1247,0.282988,0.0846769
11,-0.538118,-0.261686,0.977361,0.282835,0.0847011
11.5,-0.0663468,-2.84992,-9.844,0.282768,0.084725
12,-3.0716,-3.81981,-2.64625,0.282745,0.0847419
12.5,-4.15361,-3.13474,3.60355,0.28274,0.0847503
13,-3.31585,-2.51952,2.81645,0.28274,0.0847512
13.5,-2.58127,-2.58925,-0.0282142,0.282739,0.084747
14,-2.6522,-2.46864,0.649215,0.282735,0.0847398
14.5,-2.50408,-2.71712,-0.753506,0.282727,0.0847314
15,-2.78448,-2.06162,2.55684,0.282718,0.0847231
15.5,-2.02067,-1.2294,2.79888,0.282708,0.0847158
16,-1.0699,-3.67738,-9.22356,0.282698,0.0847098
16.5,-3.90854,-4.13967,-0.817586,0.28269,0.0847051
17,-4.40545,-2.24473,7.64362,0.282682,0.0847016
17.5,-2.18681,-1.95267,0.828296,0.282677,0.0846992
18,-1.85966,-1.56316,1.04891,0.282672,0.0846977
18.5,-1.42574,0.519309,6.88099,0.282669,0.0846967
19,0.948133,0.122718,-2.92009,0.282667,0.0846961
19.5,0.427882,-2.48375,-10.3006,0.282666,0.0846958
20,-2.61479,-2.20483,1.45032,0.282665,0.0846957
20.5,-2.27446,1.0861,11.8889,0.282664,0.0846957
21,1.51994,1.61275,0.328358,0.282664,0.0846957
21.5,2.0605,1.02837,-3.65144,0.282664,0.0846957
22,1.32148,0.921331,-1.41565,0.282664,0.0846957
22.5,1.1545,0.25245,-3.19123,0.282664,0.0846957
23,0.350474,-1.06241,-4.99847,0.282664,0.0846957
23.5,-1.17606,0.219843,4.9384,0.282664,0.0846957
24,0.315323,1.74986,5.07506,0.282664,0.0846957
24.5,2.06026,1.68086,-1.34223,0.282664,0.0846957
25,1.93441,2.28725,1.24826,0.282664,0.0846957
25.5,2.59367,1.71501,-3.10849,0.282664,0.0846957
26,1.88979,1.76249,-0.450357,0.282664,0.0846957
26.5,1.9182,2.66158,2.6299,0.282664,0.0846957
27,2.92866,1.99185,-3.31421,0.282664,0.0846957
27.5,2.11858,0.37719,-6.16066,0.282664,0.0846957
28,0.243029,1.69996,5.15429,0.282664,0.0846957
28.5,1.78407,4.03579,7.96606,0.282664,0.0846957
29,4.45725,3.29546,-4.11013,0.282664,0.0846957
29.5,3.54286,1.40331,-7.56925,0.282664,0.0846957
30,1.33017,1.67933,1.23524,0.282664,0.0846957
30.5,1.6585,1.14423,-1.81937,0.282664,0.0846957
31,1.04636,0.746549,-1.06065,0.282664,0.0846957
31.5,0.603758,3.0147,8.52936,0.282664,0.0846957
32,3.23311,4.96677,6.13331,0.282664,0.0846957
32.5,5.44491,2.98916,-8.68788,0.282664,0.0846957
33,3.09939,0.280221,-9.97358,0.282664,0.0846957
33.5,-0.0319104,0.781579,2.87794,0.282664,0.0846957
34,0.591322,1.56138,3.43183,0.282664,0.0846957
34.5,1.51645,2.28622,2.72328,0.282664,0.0846957
35,2.35662,2.45718,0.355741,0.282664,0.0846957
35.5,2.54264,2.49383,-0.17269,0.282664,0.0846957
36,2.57198,1.84728,-2.56382,0.282664,0.0846957
36.5,1.81685,1.7361,-0.285692,0.282664,0.0846957
37,1.69358,1.39698,-1.04931,0.282664,0.0846957
37.5,1.31002,-0.126632,-5.08254,0.282664,0.0846957
38,-0.428824,0.425135,3.02111,0.282664,0.0846957
38.5,0.250881,0.530328,0.988618,0.282664,0.0846957
39,0.39794,0.111548,-1.01319,0.282664,0.0846957
39.5,-0.0637465,1.33988,4.96571,0.282664,0.0846957
40,1.37487,1.98614,2.16253,0.282664,0.0846957
40.5,2.11271,-1.01843,-11.0773,0.282664,0.0846957
41,-1.36095,-3.64975,-8.09725,0.282664,0.0846957
41.5,-4.33518,-1.29399,10.759,0.282664,0.0846957
42,-1.52379,0.631461,7.62479,0.282664,0.0846957
42.5,0.724549,-0.276852,-3.54273,0.282664,0.0846957
43,-0.333791,-0.207625,0.446345,0.282664,0.0846957
43.5,-0.245662,-1.06408,-2.89537,0.282664,0.0846957
44,-1.22473,-3.66083,-8.61837,0.282664,0.0846957
44.5,-4.18645,-4.57562,-1.37681,0.282664,0.0846957
45,-5.15954,-1.85978,11.6738,0.282664,0.0846957
45.5,-1.94935,-1.26086,2.43572,0.282664,0.0846957
46,-1.24727,-2.42718,-4.17425,0.282664,0.0846957
46.5,-2.59037,-2.26341,1.15672,0.282664,0.0846957
47,-2.37761,-3.22324,-2.99166,0.282664,0.0846957
47.5,-3.46414,-3.35931,0.370858,0.282664,0.0846957
48,-3.5845,-2.83721,2.64373,0.282664,0.0846957
48.5,-2.95044,-3.51038,-1.98096,0.282664,0.0846957
49,-3.7075,-4.31448,-2.14734,0.282664,0.0846957
49.5,-4.60254,-2.39926,7.79469,0.282664,0.0846957
50,-2.35723,-0.601252,6.21223,0.282664,0.0846957
50.5,-0.296145,-2.56965,-8.04313,0.282664,0.0846957
51,-2.60515,-2.85302,-0.876905,0.282664,0.0846957
51.5,-2.92565,-2.88014,0.161009,0.282664,0.0846957
52,-2.94596,-4.61758,-5.91382,0.282664,0.0846957
52.5,-4.93384,-3.26196,5.91472,0.282664,0.0846957
53,-3.32774,0.54984,13.718,0.282664,0.0846957
53.5,1.06499,0.962631,-0.362115,0.282664,0.0846957
54,1.46244,-1.76693,-11.4248,0.282664,0.0846957
54.5,-1.75093,-2.11671,-1.29403,0.282664,0.0846957
55,-2.15551,-1.55255,2.13313,0.282664,0.0846957
55.5,-1.50102,-1.68199,-0.640238,0.282664,0.0846957
56,-1.65757,0.522131,7.71129,0.282664,0.0846957
56.5,0.873106,1.61305,2.61774,0.282664,0.0846957
57,2.07488,0.519883,-5.50122,0.282664,0.0846957
57.5,0.748749,-0.368804,-3.95365,0.282664,0.0846957
58,-0.307366,0.50209,2.86367,0.282664,0.0846957
58.5,0.684798,0.459983,-0.795344,0.282664,0.0846957
59,0.60901,0.211516,-1.40624,0.282664,0.0846957
59.5,0.300992,1.52819,4.34156,0.282664,0.0846957
60,1.80153,1.21456,-2.07656,0.282664,0.0846957
60.5,1.39995,1.97993,2.05185,0.282664,0.0846957
61,2.25222,3.6963,5.10881,0.282664,0.0846957
61.5,4.18493,2.81524,-4.84565,0.282664,0.0846957
62,3.09867,0.424486,-9.46064,0.282664,0.0846957
62.5,0.307277,0.413033,0.374139,0.282664,0.0846957
63,0.311668,2.76426,8.67672,0.282664,0.0846957
63.5,3.03034,3.241,0.745275,0.282664,0.0846957
64,3.53864,4.3787,2.97193,0.282664,0.0846957
64.5,4.80219,4.82261,0.0722342,0.282664,0.0846957
65,5.24916,1.84016,-12.0603,0.282664,0.0846957
65.5,1.75598,0.177714,-5.58355,0.282664,0.0846957
66,-0.142913,2.03104,7.69096,0.282664,0.0846957
