time,predicted_position,filtered_position,position_error
0.5,-3.60312,2.31628,10.6173
1,3.49077,2.0073,-2.94702
1.5,2.69082,1.78703,-1.79157
2,2.17043,4.18132,4.09077
2.5,5.15716,1.83797,-7.13527
3,1.9613,1.57922,-0.879238
3.5,1.61612,2.40007,1.93519
4,2.59595,2.12379,-1.24575
4.5,2.23218,3.06146,2.32353
5,3.3129,2.77493,-1.58839
5.5,2.93848,2.59799,-1.05083
6,2.70804,0.315456,-7.65695
6.5,0.0593492,-0.415448,-1.56396
7,-0.743045,-3.59858,-9.61697
7.5,-4.35234,-3.0647,4.40858
8,-3.62703,-4.29634,-2.31874
8.5,-4.9581,-3.61917,4.6763
9,-4.08183,-1.61752,8.65277
9.5,-1.71312,-1.83055,-0.413686
10,-1.94368,-0.530132,4.98966
10.5,-0.432025,-0.386418,0.16116
11,-0.281488,0.702067,3.47748
11.5,0.95427,-0.917546,-6.61961
12,-0.945765,2.02428,10.5043
12.5,2.44114,0.720277,-6.08638
13,0.879225,2.53438,5.85398
13.5,2.9414,3.61798,2.39295
14,4.12639,2.19603,-6.82745
14.5,2.41516,0.592981,-6.44502
15,0.539066,-0.326227,-3.06063
15.5,-0.509795,-1.43877,-3.286
16,-1.76153,-3.98034,-7.84871
16.5,-4.63553,-0.702626,13.9125
17,-0.768585,-2.83618,-7.3142
17.5,-3.2119,-1.79471,5.01346
18,-1.95812,-0.857571,3.89337
18.5,-0.856095,-0.853613,0.00878179
19,-0.851765,-2.06562,-4.29429
19.5,-2.24563,0.155157,8.49337
20,0.334827,0.358088,0.0822925
20.5,0.541242,0.944756,1.42754
21,1.18836,3.46892,8.06806
21.5,4.05419,4.22126,0.591063
22,4.83156,2.93114,-6.72327
22.5,3.25672,3.4234,0.58965
23,3.77395,1.59483,-7.70923
23.5,1.61892,-1.03231,-9.37943
24,-1.40542,-0.722291,2.41674
24.5,-0.993059,-2.29923,-4.62094
25,-2.76569,-1.61495,4.07105
25.5,-1.909,-2.72834,-2.89865
26,-3.14515,-0.59028,9.03855
26.5,-0.624323,-3.37627,-9.73576
27,-3.8226,-1.56909,7.97241
27.5,-1.67781,-2.57036,-3.15763
28,-2.81279,-1.26867,5.46276
28.5,-1.27977,-0.264201,3.59284
29,-0.123152,1.5414,5.88882
29.5,1.93183,3.69593,6.24098
30,4.35065,2.77911,-5.55976
30.5,3.19838,4.66457,5.18703
31,5.3035,1.8731,-12.136
31.5,1.99811,1.97383,-0.0858701
32,2.0952,-0.701326,-9.89347
32.5,-0.998927,0.547443,5.4707
33,0.481515,-1.82185,-8.14878
33.5,-2.23286,-0.788245,5.11072
34,-0.982828,-1.08861,-0.374238
34.5,-1.29904,-2.43364,-4.01396
35,-2.81406,-2.68528,0.455601
35.5,-3.0464,-2.99207,0.192175
36,-3.34506,-2.77542,2.01526
36.5,-3.04306,-2.57708,1.64853
37,-2.7749,0.772392,12.5495
