time,position
0,7.46861
0.5,-4.54277
1,-15.2468
1.5,13.4675
2,18.1833
2.5,-18.5883
3,4.08261
3.5,12.9834
4,-10.7845
4.5,-4.21328
5,2.50765
5.5,3.27722
6,17.5536
6.5,-20.0462
7,4.93042
7.5,15.1228
8,-12.4229
8.5,-7.3814
9,14.0928
9.5,1.93592
10,-0.372096
10.5,-14.7882
11,8.62713
11.5,1.14685
12,-1.67302
12.5,-0.377817
13,0.159018
13.5,6.98999
14,1.12511
14.5,-19.9889
15,4.41886
15.5,19.3774
16,-15.7533
16.5,-10.9284
17,18.3453
17.5,-3.56882
18,-20.0331
18.5,12.8747
19,-1.23996
19.5,8.1838
20,-3.92758
20.5,-8.89165
21,10.8132
21.5,3.38306
22,-19.8138
22.5,12.9251
23,5.80183
23.5,1.78903
24,-8.29844
24.5,-0.0604612
25,1.58203
25.5,4.6209
26,-12.3136
26.5,3.6337
27,12.6452
27.5,0.485298
28,-16.7983
28.5,0.970347
29,13.0566
29.5,-2.42802
30,-18.7934
30.5,18.4962
31,15.0046
31.5,-19.9119
32,6.95425
32.5,8.37496
33,-9.21091
33.5,8.885
34,-3.85232
34.5,-5.01007
35,20.368
35.5,-21.7462
36,-4.37548
36.5,11.9723
37,5.80926
37.5,-9.66813
38,0.790285
38.5,3.42094
39,5.51885
39.5,-16.012
40,0.244112
40.5,11.1761
41,9.13937
41.5,-18.9843
42,2.87728
42.5,10.8149
43,-6.06188
43.5,-12.169
44,7.29684
44.5,16.0096
45,-9.12763
45.5,-12.9664
46,14.7832
46.5,-5.61663
47,-6.45905
47.5,11.8798
48,-13.3615
48.5,16.2982
49,3.06166
49.5,-18.6449
50,8.49779
50.5,19.5568
51,-21.6054
51.5,3.32241
52,10.0114
52.5,3.65434
53,-14.1202
53.5,-2.83307
54,4.69362
54.5,12.9611
55,-15.2567
55.5,1.58464
56,11.463
56.5,-3.9171
57,-13.2396
57.5,3.76581
58,6.52475
58.5,7.33877
59,-13.9623
59.5,4.28965
60,7.81208
60.5,-12.0776
61,2.81454
61.5,-3.19033
62,5.22378
62.5,14.7143
63,-19.76
63.5,-7.73756
64,18.869
64.5,-17.5498
65,-12.0092
65.5,18.5708
66,10.2281
66.5,-20.4941
67,4.16949
67.5,0.166553
68,2.69474
68.5,-1.92748
69,-3.74692
69.5,5.14097
70,13.0122
70.5,-20.7735
71,2.23315
71.5,2.47421
72,5.15887
72.5,-1.3729
73,-7.97796
73.5,11.5492
74,3.90858
74.5,-19.6206
75,5.529
75.5,4.18368
76,6.073
76.5,-1.89411
77,-15.5431
77.5,21.6839
78,-2.41547
78.5,-18.5865
79,14.5001
79.5,18.8187
80,-20.2695
80.5,3.82745
81,4.59123
81.5,-4.25742
82,-2.55172
82.5,2.73576
83,-8.60508
83.5,20.7379
84,-6.75242
84.5,-12.9996
85,5.04011
85.5,8.13959
86,-8.93908
86.5,-1.92622
87,4.54196
87.5,15.5334
88,-18.3481
88.5,-6.52878
89,12.1834
89.5,0.112476
90,-5.1741
90.5,-0.997173
91,7.95495
91.5,5.7599
92,-17.4615
92.5,-4.85171
93,20.9076
93.5,-7.74635
94,-7.90101
94.5,11.4757
95,0.76375
95.5,-12.1119
96,10.1802
96.5,-15.5877
97,11.6466
97.5,14.449
98,-21.0605
98.5,-1.33007
99,19.3937
99.5,-21.4801
