time, running_average(5), position_error, PI_output, smoothed_output, PID_out, kalman_estimate, kalman_gain
0,7.46861,-0,0,0,0,7.39467,0.990099
0.5,1.46292,-6.00569,6.60626,1.65157,1.65157,1.45264,0.497764
1,-4.10699,-11.1398,12.8544,4.45227,4.45227,-4.10466,0.332784
1.5,0.286625,13.1808,-12.7844,0.143107,0.143107,0.292819,0.250253
2,3.86596,14.3174,-15.3526,-3.73083,-3.73083,3.88525,0.200801
2.5,-1.34542,-17.2429,17.9319,1.68486,1.68486,0.111592,0.167916
3,0.379657,3.70295,-3.38423,0.417585,0.417585,0.685429,0.144506
3.5,6.0257,6.9577,-7.33474,-1.5205,-1.5205,2.24756,0.127024
4,1.1753,-11.9598,12.7788,2.05432,2.05432,0.768499,0.113494
4.5,-3.30402,-0.909259,1.81912,1.99552,1.99552,0.256713,0.102732
5,0.915167,1.59248,-0.841867,1.28617,1.28617,0.468262,0.0939826
5.5,0.754089,2.52313,-2.02483,0.458424,0.458424,0.711921,0.0867435
6,1.66813,15.8855,-16.9757,-3.90011,-3.90011,2.07046,0.0806656
6.5,-0.184202,-19.862,20.7579,2.2644,2.2644,0.40066,0.0754999
7,1.64454,3.28588,-2.71851,1.01867,1.01867,0.722561,0.0710635
7.5,4.16757,10.9552,-11.4834,-2.10684,-2.10684,1.69054,0.0672195
8,1.02754,-13.4505,14.2674,1.98671,1.98671,0.789212,0.0638628
8.5,-3.95946,-3.42194,4.58103,2.63529,2.63529,0.291525,0.0609119
9,2.86834,11.2245,-11.1878,-0.82049,-0.82049,1.09617,0.0583023
9.5,2.26944,-0.333518,0.403509,-0.51449,-0.51449,1.14318,0.0559824
10,-0.829542,0.457446,-0.433201,-0.494168,-0.494168,1.06149,0.0539104
10.5,-1.3026,-13.4856,14.8584,3.34398,3.34398,0.23648,0.0520522
11,1.89911,6.72802,-6.02801,1.00098,1.00098,0.659197,0.0503795
11.5,-0.690081,1.83693,-1.32062,0.420582,0.420582,0.683028,0.0488686
12,-1.41187,-0.26115,0.803578,0.516331,0.516331,0.571116,0.0474999
12.5,-1.41301,1.0352,-0.596289,0.238176,0.238176,0.527221,0.0462565
13,1.57643,-1.41741,1.99806,0.678148,0.678148,0.510607,0.0451241
13.5,1.249,5.74099,-5.73444,-0.924999,-0.924999,0.796285,0.0440904
14,1.24466,-0.119548,0.138054,-0.659236,-0.659236,0.810472,0.043145
14.5,-2.41851,-17.5703,19.3459,4.34205,4.34205,-0.0688944,0.0422786
15,-1.45918,5.87804,-4.6903,2.08396,2.08396,0.117272,0.0414833
15.5,2.38449,16.9929,-17.5044,-2.81314,-2.81314,0.902159,0.040752
16,-2.16417,-13.5891,14.4365,1.49927,1.49927,0.234631,0.0400786
16.5,-4.57487,-6.35353,7.83625,3.08352,3.08352,-0.205837,0.0394578
17,3.09197,15.2533,-15.296,-1.51135,-1.51135,0.515517,0.0388846
17.5,1.49443,-5.06325,5.52695,0.248223,0.248223,0.358863,0.0383548
18,-6.38765,-13.6454,15.4737,4.05458,4.05458,-0.41327,0.0378646
18.5,-0.662046,13.5368,-13.0622,-0.224617,-0.224617,0.0838434,0.0374107
19,1.27564,-2.5156,3.24173,0.64197,0.64197,0.0348759,0.0369899
19.5,-0.756662,8.94046,-9.10838,-1.79562,-1.79562,0.333122,0.0365995
20,-0.828415,-3.09917,3.24117,-0.53642,-0.53642,0.178727,0.036237
20.5,1.39987,-10.2915,11.4627,2.46335,2.46335,-0.146901,0.0359002
21,0.987562,9.82565,-9.63706,-0.561751,-0.561751,0.243137,0.035587
21.5,1.91217,1.47089,-1.42939,-0.778662,-0.778662,0.353962,0.0352956
22,-3.68735,-16.1264,17.7806,3.86114,3.86114,-0.3524,0.0350244
22.5,-0.316818,13.2419,-12.9119,-0.332123,-0.332123,0.10928,0.0347718
23,2.62188,3.17995,-3.16799,-1.04109,-1.04109,0.30588,0.0345363
23.5,0.81704,0.971985,-1.05723,-1.04512,-1.04512,0.356777,0.0343168
24,-1.51926,-6.77918,7.37186,1.05912,1.05912,0.0615292,0.0341121
24.5,2.4314,-2.49186,3.33373,1.62777,1.62777,0.0573911,0.0339211
25,0.162796,1.41923,-0.719291,1.04101,1.04101,0.108837,0.0337427
25.5,-0.0733883,4.69429,-4.46378,-0.33519,-0.33519,0.260335,0.0335762
26,-2.89391,-9.41966,10.5921,2.39664,2.39664,-0.159893,0.0334206
26.5,-0.507478,4.14118,-3.38282,0.951774,0.951774,-0.0336601,0.0332753
27,2.03366,10.6116,-10.9144,-2.01476,-2.01476,0.386511,0.0331394
27.5,1.81432,-1.32902,1.15912,-1.22129,-1.22129,0.389773,0.0330124
28,-2.46952,-14.3288,15.5917,2.98196,2.98196,-0.175604,0.0328936
28.5,0.187264,0.783083,0.401586,2.33687,2.33687,-0.138037,0.0327825
29,2.07185,10.9848,-10.8986,-0.971995,-0.971995,0.293145,0.0326785
29.5,-0.942805,-1.48522,1.71993,-0.299013,-0.299013,0.204486,0.0325812
30,-4.79854,-13.9949,15.6291,3.683,3.683,-0.412759,0.0324902
30.5,2.26035,16.2359,-16.2252,-1.29406,-1.29406,0.199985,0.0324049
31,5.0672,9.93739,-10.9205,-3.70067,-3.70067,0.678545,0.0323251
31.5,-1.52651,-18.3854,19.2408,2.0347,2.0347,0.0144961,0.0322504
32,0.349948,6.6043,-6.40931,-0.0763043,-0.0763043,0.23782,0.0321804
32.5,5.78362,2.59134,-2.65549,-0.7211,-0.7211,0.499142,0.0321148
33,0.242197,-9.4531,10.3343,2.04274,2.04274,0.187903,0.0320533
33.5,-0.981721,9.86672,-9.97223,-0.961001,-0.961001,0.466173,0.0319958
34,2.2302,-6.08251,6.58525,0.925562,0.925562,0.328233,0.0319418
34.5,-0.162668,-4.8474,5.83489,2.15289,2.15289,0.157987,0.0318913
35,2.23594,18.132,-18.9578,-3.12477,-3.12477,0.801552,0.0318439
35.5,-0.271112,-21.475,22.7968,3.35562,3.35562,0.0845472,0.0317995
36,-2.92321,-1.45227,2.91928,3.24654,3.24654,-0.0570935,0.0317578
36.5,0.24172,11.7306,-11.4367,-0.424259,-0.424259,0.324465,0.0317188
37,2.40559,3.40368,-3.4501,-1.18072,-1.18072,0.498235,0.0316822
37.5,-3.60164,-6.06649,6.62672,0.771142,0.771142,0.176491,0.0316478
38,0.905651,-0.115367,0.687132,0.75014,0.75014,0.195897,0.0316157
38.5,2.46493,0.956001,-0.479836,0.442646,0.442646,0.297761,0.0315855
39,1.17424,4.34461,-4.30291,-0.743743,-0.743743,0.462524,0.0315572
39.5,-3.19002,-12.822,14.1459,2.97867,2.97867,-0.0569288,0.0315306
40,-1.20757,1.45168,-0.272943,2.16577,2.16577,-0.0474444,0.0315057
40.5,0.869599,10.3065,-10.1584,-0.915284,-0.915284,0.3059,0.0314824
41,2.01328,7.12608,-7.6906,-2.60911,-2.60911,0.583805,0.0314605
41.5,-2.88735,-16.097,17.1422,2.3287,2.3287,-0.0314154,0.0314399
42,0.890509,1.98677,-1.14027,1.46146,1.46146,0.0599777,0.0314206
42.5,3.00467,7.81023,-7.74475,-0.840094,-0.840094,0.397709,0.0314025
43,-0.442934,-5.61894,6.24631,0.931508,0.931508,0.194972,0.0313856
43.5,-4.70462,-7.46443,8.83824,2.90819,2.90819,-0.192883,0.0313696
44,0.551618,6.74522,-6.04593,0.669662,0.669662,0.0419548,0.0313547
44.5,3.17808,12.8315,-13.4154,-2.8516,-2.8516,0.542392,0.0313407
45,-0.810422,-8.31721,8.56506,0.00256634,0.00256634,0.239454,0.0313275
45.5,-2.19133,-10.7751,12.1005,3.02704,3.02704,-0.174091,0.0313152
46,3.19911,11.5841,-11.4171,-0.583996,-0.583996,0.294126,0.0313036
46.5,0.61642,-6.23305,7.02331,1.31783,1.31783,0.109162,0.0312927
47,-3.87731,-2.58174,3.63018,1.89592,1.89592,-0.0963081,0.0312825
47.5,0.324173,11.5556,-11.6627,-1.49375,-1.49375,0.27822,0.031273
