time,measured_position,estimated_position, error, L1, L2, estimated_velocity
0.5,-3.76154,-1.94893,-3.62523,0.5,0.1,-0.362523
1,1.84768,-0.141254,3.97787,0.5,0.1,0.0352634
1.5,-0.808471,-0.466047,-0.684849,0.5,0.1,-0.0332214
2,2.64515,1.08125,3.12781,0.5,0.1,0.279559
2.5,-1.75667,-0.267822,-2.97769,0.5,0.1,-0.0182102
3,-2.68816,-1.48254,-2.41123,0.5,0.1,-0.259333
3.5,1.81956,0.103677,3.43177,0.5,0.1,0.0838439
4,0.854287,0.499943,0.708688,0.5,0.1,0.154713
4.5,1.06208,0.819688,0.484778,0.5,0.1,0.20319
5,-0.433528,0.243878,-1.35481,0.5,0.1,0.0677094
5.5,5.90013,3.08893,5.6224,0.5,0.1,0.629949
6,3.44496,3.42443,0.04105,0.5,0.1,0.634054
6.5,-4.55532,-0.406933,-8.29678,0.5,0.1,-0.195624
7,3.79515,1.6452,4.29989,0.5,0.1,0.234365
7.5,-0.83858,0.461902,-2.60096,0.5,0.1,-0.0257313
8,-7.84603,-3.6985,-8.29507,0.5,0.1,-0.855238
8.5,-5.09013,-4.60812,-0.964014,0.5,0.1,-0.95164
9,-2.44777,-3.76586,2.63617,0.5,0.1,-0.688023
9.5,1.37762,-1.36613,5.48749,0.5,0.1,-0.139274
10,-5.12151,-3.27863,-3.68574,0.5,0.1,-0.507848
10.5,5.81159,1.13951,9.34414,0.5,0.1,0.426566
11,7.62238,4.48759,6.26958,0.5,0.1,1.05352
11.5,2.83758,3.92597,-2.17677,0.5,0.1,0.835848
12,5.21153,4.77771,0.867641,0.5,0.1,0.922612
12.5,2.26461,3.75182,-2.9744,0.5,0.1,0.625172
13,2.84963,3.45702,-1.21478,0.5,0.1,0.503694
13.5,-8.28991,-2.29053,-11.9988,0.5,0.1,-0.696183
14,-5.53478,-4.0867,-2.89617,0.5,0.1,-0.9858
14.5,-2.3087,-3.44415,2.2709,0.5,0.1,-0.75871
15,-7.13064,-5.47707,-3.30714,0.5,0.1,-1.08942
15.5,-1.56621,-3.79399,4.45558,0.5,0.1,-0.643866
16,-1.27446,-2.69519,2.84147,0.5,0.1,-0.359719
16.5,4.94195,1.03345,7.81701,0.5,0.1,0.421982
17,5.61654,3.43049,4.3721,0.5,0.1,0.859191
17.5,2.42831,3.1442,-1.43177,0.5,0.1,0.716014
18,5.75818,4.63019,2.25598,0.5,0.1,0.941611
18.5,2.9307,4.01585,-2.1703,0.5,0.1,0.724581
19,-1.16487,1.60663,-5.54301,0.5,0.1,0.17028
19.5,-4.55603,-1.43213,-6.24781,0.5,0.1,-0.4545
20,-1.63961,-1.6495,0.0197662,0.5,0.1,-0.452524
20.5,0.783111,-0.546323,2.65887,0.5,0.1,-0.186637
21,-9.17413,-4.90688,-8.53448,0.5,0.1,-1.04008
21.5,0.493718,-2.4666,5.92064,0.5,0.1,-0.448021
22,3.20497,0.257177,5.89558,0.5,0.1,0.141538
22.5,-1.54137,-0.60671,-1.86931,0.5,0.1,-0.0453935
23,1.39577,0.383181,2.02518,0.5,0.1,0.157124
23.5,0.557761,0.509752,0.0960171,0.5,0.1,0.166726
24,4.11726,2.35519,3.52414,0.5,0.1,0.51914
24.5,-4.17311,-0.779178,-6.78787,0.5,0.1,-0.159647
25,0.352671,-0.253165,1.21167,0.5,0.1,-0.0384796
25.5,3.76326,1.74543,4.03567,0.5,0.1,0.365087
26,-1.1518,0.388086,-3.07977,0.5,0.1,0.0571099
26.5,1.87506,1.14585,1.45842,0.5,0.1,0.202952
27,-0.962702,0.142312,-2.21003,0.5,0.1,-0.018051
27.5,4.65894,2.39611,4.52566,0.5,0.1,0.434515
28,-0.954497,0.829438,-3.56787,0.5,0.1,0.0777278
28.5,-3.59721,-1.36446,-4.46552,0.5,0.1,-0.368824
29,-0.884207,-1.21654,0.664662,0.5,0.1,-0.302358
29.5,-4.83778,-3.10275,-3.47006,0.5,0.1,-0.649364
30,-2.37812,-2.90278,1.0493,0.5,0.1,-0.544433
30.5,-3.63777,-3.40638,-0.46278,0.5,0.1,-0.590711
