time,position
0,-3.60312
0.5,7.01423
1,0.543752
1.5,0.899251
2,6.2612
2.5,-1.97811
3,1.08206
3.5,3.55131
4,1.3502
4.5,4.5557
5,1.72451
5.5,1.88765
6,-4.94892
6.5,-1.50461
7,-10.36
7.5,0.05624
8,-5.94578
8.5,-0.281803
9,4.57094
9.5,-2.12681
10,3.04599
10.5,-0.270865
11,3.196
11.5,-5.66534
12,9.55856
12.5,-3.64523
13,6.73321
13.5,5.33434
14,-2.70106
14.5,-4.02986
15,-2.52156
15.5,-3.7958
16,-9.61024
16.5,9.27693
17,-8.08279
17.5,1.80156
18,1.93525
18.5,-0.847314
19,-5.14606
19.5,6.24774
20,0.417119
20.5,1.96878
21,9.25643
21.5,4.64525
22,-1.89171
22.5,3.84637
23,-3.93527
23.5,-7.76051
24,1.01133
24.5,-5.614
25,1.30537
25.5,-4.80765
26,5.89339
26.5,-10.3601
27,4.1498
27.5,-4.83544
28,2.64997
28.5,2.31308
29,5.76566
29.5,8.17281
30,-1.20911
30.5,8.38541
31,-6.83247
31.5,1.91224
32,-7.79827
32.5,4.47178
33,-7.66726
33.5,2.87786
34,-1.35707
34.5,-5.313
35,-2.35846
35.5,-2.85422
36,-1.3298
36.5,-1.39452
37,9.77462
37.5,1.02386
38,6.26666
38.5,5.13392
39,-0.0589349
39.5,-2.94944
40,2.57771
40.5,-3.73342
41,-0.158478
41.5,0.130742
42,0.940215
42.5,-7.69714
43,-0.140443
43.5,-5.54933
44,-6.51956
44.5,2.83656
45,-0.23137
45.5,6.50732
46,0.701397
46.5,9.70478
47,-4.90731
47.5,4.06389
48,0.919438
48.5,-2.33998
49,2.17731
49.5,0.843178
50,2.53611
50.5,-8.29196
51,4.02881
51.5,-9.99515
52,-4.73068
52.5,-1.11889
53,-0.970383
53.5,0.288514
54,5.85686
54.5,5.77341
55,-3.55973
55.5,7.83726
56,-2.04283
56.5,0.225193
57,3.22614
57.5,4.58613
58,-2.32243
58.5,2.99509
59,-2.05186
59.5,-8.20214
60,-3.78856
60.5,-4.05023
61,-5.0412
61.5,1.58664
62,2.93166
62.5,0.697787
63,3.57841
63.5,-0.030606
64,2.96728
64.5,-2.60656
65,7.85478
65.5,-1.21228
66,8.59326
66.5,-2.77655
67,4.18029
67.5,-5.8496
68,-7.24648
68.5,0.106954
69,-10.308
69.5,2.9539
70,-3.56985
70.5,7.16778
71,-8.56231
71.5,10.0537
72,-5.20854
72.5,-0.801744
73,7.15577
73.5,1.98226
74,2.83231
74.5,7.20764
75,3.88109
75.5,-8.96993
76,4.89848
76.5,-8.27571
77,-7.0663
77.5,0.521018
78,1.14466
78.5,-8.36084
79,8.24157
79.5,-4.2531
80,-3.73249
80.5,1.78389
81,3.43427
81.5,-3.03694
82,10.9049
82.5,5.81269
83,-1.59999
83.5,8.18565
84,-5.77644
84.5,-1.58461
85,-6.27673
85.5,2.91732
86,-9.87958
86.5,7.12099
87,-6.12775
87.5,-0.930278
88,-0.948941
88.5,-6.18874
89,3.21722
89.5,-1.72776
90,7.63535
90.5,1.83514
91,9.67065
91.5,-3.86125
92,6.0455
92.5,-1.68326
93,-7.11687
93.5,3.42446
94,-2.41121
94.5,-4.31945
95,2.83407
95.5,-1.47838
96,-9.98736
96.5,1.50093
97,-2.24274
97.5,-7.55876
98,8.95728
98.5,6.1333
99,-3.35411
99.5,9.5489
