Time, Current Position, Running Average(5), Error, PI Output, Smoothed Output, Measurement, PID Out, Kalman Estimate, Kalman Gain
0,-29.5137,-29.5137,0,0,0,-29.5137,0,-29.2215,0.990099
0.1,22.4833,-3.5152,-25.9985,-28.5984,-7.1496,22.4833,-7.1496,-3.4847,0.497764
0.2,27.8576,6.94238,-20.9152,-25.6065,-11.7638,27.8576,-11.7638,6.94549,0.332784
0.3,-21.8854,-0.264562,21.6208,19.0915,-4.04999,-21.8854,-4.04999,-0.269532,0.250253
0.4,-29.9175,-6.19514,23.7223,23.5653,2.85383,-29.9175,2.85383,-6.22287,0.200801
0.5,21.6206,4.03173,-17.5889,-19.5048,-2.73584,21.6206,-2.73584,-1.54751,0.167916
0.6,27.5634,5.04775,-22.5157,-26.6832,-8.72267,27.5634,-8.72267,2.6592,0.144506
0.7,-21.5474,-4.83325,16.7142,14.2181,-2.98748,-21.5474,-2.98748,-0.415613,0.127024
0.8,-30.305,-6.51717,23.7878,23.6705,3.67701,-30.305,3.67701,-3.80787,0.113494
0.9,20.7524,3.61681,-17.1356,-18.9665,-1.98386,20.7524,-1.98386,-1.28475,0.102732
1,27.2315,4.73897,-22.4925,-26.5726,-8.13105,27.2315,-8.13105,1.39528,0.0939826
1.1,-21.1982,-5.01334,16.1848,13.7232,-2.66749,-21.1982,-2.66749,-0.564556,0.0867435
1.2,-30.6755,-6.83895,23.8365,23.7585,3.93902,-30.6755,3.93902,-2.99347,0.0806656
1.3,19.8755,3.19716,-16.6784,-18.4242,-1.65179,19.8755,-1.65179,-1.26686,0.0754999
1.4,26.8575,4.41818,-22.4393,-26.4291,-7.84611,26.8575,-7.84611,0.731751,0.0710635
1.5,-20.8405,-5.19622,15.6443,13.219,-2.57984,-20.8405,-2.57984,-0.718323,0.0672195
1.6,-31.0315,-7.16289,23.8686,23.8302,4.02266,-31.0315,4.02266,-2.65421,0.0638628
1.7,18.9946,2.77112,-16.2235,-17.8843,-1.45408,18.9946,-1.45408,-1.33554,0.0609119
1.8,26.4466,4.08533,-22.3612,-26.2582,-7.6551,26.4466,-7.6551,0.28422,0.0583023
1.9,-20.4717,-5.38051,15.0912,12.7034,-2.56548,-20.4717,-2.56548,-0.877746,0.0559824
2,-31.3723,-7.48688,23.8855,23.8862,4.04743,-31.3723,4.04743,-2.52172,0.0539104
2.1,18.1108,2.34159,-15.7692,-17.3454,-1.30078,18.1108,-1.30078,-1.44775,0.0520522
2.2,25.9952,3.74172,-22.2535,-26.055,-7.48935,25.9952,-7.48935,-0.0651894,0.0503795
2.3,-20.0929,-5.56618,14.5267,12.1778,-2.57255,-20.0929,-2.57255,-1.04392,0.0488686
2.4,-31.6917,-7.81017,23.8815,23.9208,4.05079,-31.6917,4.05079,-2.49968,0.0474999
2.5,17.223,1.90889,-15.3141,-16.8063,-1.16347,17.223,-1.16347,-1.58738,0.0462565
2.6,25.5083,3.38838,-22.1199,-25.824,-7.32861,25.5083,-7.32861,-0.364715,0.0451241
2.7,-19.7078,-5.75222,13.9556,11.647,-2.5847,-19.7078,-2.5847,-1.21756,0.0440904
2.8,-31.9981,-8.13326,23.8648,23.9427,4.04716,-31.9981,4.04716,-2.54558,0.043145
2.9,16.334,1.47188,-14.8621,-16.2704,-1.03224,16.334,-1.03224,-1.74738,0.0422786
3,24.9809,3.02346,-21.9574,-25.5615,-7.16455,24.9809,-7.16455,-0.638605,0.0414833
3.1,-19.3117,-5.94053,13.3712,11.1043,-2.59735,-19.3117,-2.59735,-1.39957,0.040752
3.2,-32.2842,-8.45581,23.8284,23.9443,4.03806,-32.2842,4.03806,-2.63738,0.0400786
3.3,15.4417,1.03216,-14.4096,-15.7346,-0.905113,15.4417,-0.905113,-1.92402,0.0394578
3.4,24.4158,2.64852,-21.7673,-25.2691,-6.99611,24.4158,-6.99611,-0.899807,0.0388846
3.5,-18.9091,-6.12948,12.7796,10.5558,-2.60813,-18.9091,-2.60813,-1.59055,0.0383548
3.6,-32.5549,-8.77812,23.7768,23.9307,4.02657,-32.5549,4.02657,-2.76301,0.0378646
3.7,14.5527,0.589243,-13.9634,-15.2059,-0.781546,14.5527,-0.781546,-2.11521,0.0374107
3.8,23.8195,2.2648,-21.5547,-24.9527,-6.82433,23.8195,-6.82433,-1.15589,0.0369899
3.9,-18.4965,-6.31766,12.1788,9.99874,-2.61856,-18.4965,-2.61856,-1.79055,0.0365995
4,-32.8079,-9.09741,23.7105,23.9014,4.01144,-32.8079,4.01144,-2.91452,0.036237
4.1,13.6619,0.145958,-13.516,-14.6766,-0.66057,13.6619,-0.66057,-2.31942,0.0359002
4.2,23.1804,1.8715,-21.3089,-24.6004,-6.64552,23.1804,-6.64552,-1.41196,0.035587
4.3,-18.0796,-6.50832,11.5713,9.43687,-2.62493,-18.0796,-2.62493,-2.00026,0.0352956
4.4,-33.0432,-9.41765,23.6255,23.8537,3.99472,-33.0432,3.99472,-3.08751,0.0350244
4.5,12.7749,-0.301103,-13.076,-14.1554,-0.542818,12.7749,-0.542818,-2.53595,0.0347718
4.6,22.5156,1.46963,-21.046,-24.23,-6.46461,22.5156,-6.46461,-1.67076,0.0345363
4.7,-17.6545,-6.69735,10.9572,8.86885,-2.63124,-17.6545,-2.63124,-2.21927,0.0343168
4.8,-33.2614,-9.73371,23.5277,23.7921,3.9746,-33.2614,3.9746,-3.27819,0.0341121
4.9,11.8902,-0.747046,-12.6372,-13.6365,-0.428177,11.8902,-0.428177,-2.76366,0.0339211
5,21.8081,1.0596,-20.7485,-23.8227,-6.2768,21.8081,-6.2768,-1.93454,0.0337427
5.1,-17.2255,-6.88861,10.3369,8.29645,-2.63349,-17.2255,-2.63349,-2.44795,0.0335762
5.2,-33.4631,-10.0503,23.4127,23.7136,3.95328,-33.4631,3.95328,-3.4845,0.0334206
5.3,11.0119,-1.19566,-12.2076,-13.1275,-0.316916,11.0119,-0.316916,-3.00212,0.0332753
5.4,21.0666,0.639618,-20.427,-23.3896,-6.08508,21.0666,-6.08508,-2.2045,0.0331394
5.5,-16.7939,-7.0808,9.71314,7.72184,-2.63335,-16.7939,-2.63335,-2.68613,0.0330124
5.6,-33.6505,-10.3658,23.2847,23.6218,3.93045,-33.6505,3.93045,-3.70466,0.0328936
5.7,10.1345,-1.64628,-11.7808,-12.6217,-0.207587,10.1345,-0.207587,-3.25098,0.0327825
5.8,20.2949,0.210306,-20.0846,-22.9339,-5.88917,20.2949,-5.88917,-2.48154,0.0326785
5.9,-16.3554,-7.2741,9.08135,7.14011,-2.63185,-16.3554,-2.63185,-2.93357,0.0325812
6,-33.8182,-10.679,23.1393,23.512,3.9041,-33.8182,3.9041,-3.93701,0.0324902
6.1,9.26252,-2.09636,-11.3589,-12.1221,-0.102439,9.26252,-0.102439,-3.50928,0.0324049
6.2,19.4923,-0.224791,-19.7171,-22.452,-5.68984,19.4923,-5.68984,-2.76575,0.0323251
6.3,-15.9095,-7.46566,8.44381,6.55328,-2.62906,-15.9095,-2.62906,-3.18964,0.0322504
6.4,-33.9665,-10.9879,22.9786,23.3859,3.87469,-33.9665,3.87469,-4.18005,0.0321804
6.5,8.39572,-2.54507,-10.9408,-11.6275,-0.000865102,8.39572,-0.000865102,-3.77618,0.0321148
6.6,18.6584,-0.6659,-19.3243,-21.9434,-5.48651,18.6584,-5.48651,-3.05708,0.0320533
6.7,-15.4632,-7.65701,7.80621,5.96766,-2.62297,-15.4632,-2.62297,-3.45403,0.0319958
6.8,-34.1013,-11.2954,22.8059,23.248,3.84476,-34.1013,3.84476,-4.43296,0.0319418
6.9,7.54124,-2.99384,-10.5351,-11.1465,0.0969361,7.54124,0.0969361,-4.05108,0.0318913
7,17.7898,-1.11503,-18.9048,-21.4067,-5.27898,17.7898,-5.27898,-3.35559,0.0318439
7.1,-15.0139,-7.84948,7.1644,5.3789,-2.61451,-15.0139,-2.61451,-3.72631,0.0317995
7.2,-34.218,-11.6004,22.6176,23.0938,3.81257,-34.218,3.81257,-4.69466,0.0317578
7.3,6.69311,-3.44156,-10.1347,-10.6719,0.191459,6.69311,0.191459,-4.33346,0.0317188
7.4,16.8931,-1.57119,-18.4643,-20.8479,-5.06838,16.8931,-5.06838,-3.66095,0.0316822
7.5,-14.5614,-8.04142,6.51996,4.78831,-2.60421,-14.5614,-2.60421,-4.00593,0.0316478
7.6,-34.3207,-11.9028,22.4179,22.928,3.77885,-34.3207,3.77885,-4.96435,0.0316157
7.7,5.84931,-3.88931,-9.73862,-10.2023,0.283555,5.84931,0.283555,-4.62279,0.0315855
7.8,15.9699,-2.03396,-18.0038,-20.2679,-4.85432,15.9699,-4.85432,-3.97295,0.0315572
7.9,-14.1082,-8.2342,5.87396,4.19726,-2.59142,-14.1082,-2.59142,-4.29252,0.0315306
8,-34.4023,-12.2024,22.1999,22.7432,3.74223,-34.4023,3.74223,-5.24115,0.0315057
8.1,5.0218,-4.33389,-9.35569,-9.74797,0.369678,5.0218,0.369678,-4.91805,0.0314824
8.2,15.0218,-2.49939,-17.5212,-19.6656,-4.63915,15.0218,-4.63915,-4.29073,0.0314605
8.3,-13.6525,-8.42387,5.22866,3.60712,-2.57758,-13.6525,-2.57758,-4.58506,0.0314399
8.4,-34.4666,-12.4956,21.971,22.5466,3.70346,-34.4666,3.70346,-5.52396,0.0314206
8.5,4.19729,-4.77564,-8.97293,-9.29466,0.45393,4.19729,0.45393,-5.21869,0.0314025
8.6,14.0403,-2.97193,-17.0123,-19.0352,-4.41836,14.0403,-4.41836,-4.61423,0.0313856
8.7,-13.1982,-8.61593,4.58222,3.01749,-2.55939,-13.1982,-2.55939,-4.88351,0.0313696
8.8,-34.52,-12.7894,21.7306,22.3389,3.66518,-34.52,3.66518,-5.81275,0.0313547
8.9,3.39363,-5.21738,-8.61101,-8.86379,0.532936,3.39363,0.532936,-5.52421,0.0313407
9,13.0456,-3.44772,-16.4933,-18.3954,-4.19915,13.0456,-4.19915,-4.94247,0.0313275
9.1,-12.741,-8.80398,3.937,2.42859,-2.54222,-12.741,-2.54222,-5.18668,0.0313152
9.2,-34.5573,-13.0758,21.4815,22.1212,3.62364,-34.5573,3.62364,-6.10609,0.0313036
9.3,2.59393,-5.65302,-8.24695,-8.43191,0.609753,2.59393,0.609753,-5.83384,0.0312927
9.4,12.0099,-3.92977,-15.9396,-17.7186,-3.97233,12.0099,-3.97233,-5.27564,0.0312825
9.5,-12.2908,-8.99705,3.29377,1.84422,-2.51819,-12.2908,-2.51819,-5.49503,0.031273
9.6,-34.5707,-13.363,21.2077,21.8789,3.58108,-34.5707,3.58108,-6.40405,0.031264
9.7,1.80729,-6.09008,-7.89737,-8.01588,0.681842,1.80729,0.681842,-6.1474,0.0312555
9.8,10.962,-4.41647,-15.3784,-17.0348,-3.74732,10.962,-3.74732,-5.61277,0.0312476
9.9,-11.8343,-9.18531,2.64902,1.25756,-2.4961,-11.8343,-2.4961,-5.80713,0.0312402
10,-34.579,-13.643,20.9361,21.6382,3.53748,-34.579,3.53748,-6.70577,0.0312332
10.1,1.03917,-6.52098,-7.56016,-7.61402,0.749606,1.03917,0.749606,-6.46392,0.0312267
10.2,9.89615,-4.90321,-14.7994,-16.3332,-3.52109,9.89615,-3.52109,-5.95315,0.0312206
10.3,-11.3846,-9.37252,2.01204,0.679445,-2.47095,-11.3846,-2.47095,-6.12269,0.0312148
10.4,-34.5665,-13.919,20.6476,21.3797,3.49171,-34.5665,3.49171,-7.01041,0.0312094
10.5,0.281256,-6.9469,-7.22815,-7.21881,0.814083,0.281256,0.814083,-6.78288,0.0312043
10.6,8.79694,-5.39534,-14.1923,-15.6022,-3.28998,8.79694,-3.28998,-6.29679,0.0311996
10.7,-10.9406,-9.5627,1.37791,0.10582,-2.44103,-10.9406,-2.44103,-6.44166,0.0311951
10.8,-34.5367,-14.1931,20.3435,21.1058,3.44568,-34.5367,3.44568,-7.31796,0.0311909
10.9,-0.454668,-7.37075,-6.91608,-6.84543,0.872902,-0.454668,0.872902,-7.10392,0.031187
11,7.69349,-5.8883,-13.5818,-14.8693,-3.06265,7.69349,-3.06265,-6.64249,0.0311833
11.1,-10.4906,-9.7458,0.744768,-0.468281,-2.41406,-10.4906,-2.41406,-6.76247,0.0311798
11.2,-34.499,-14.4575,20.0415,20.8326,3.3976,-34.499,3.3976,-7.6272,0.0311765
11.3,-1.18117,-7.78638,-6.60521,-6.47463,0.929545,-1.18117,0.929545,-7.42625,0.0311735
11.4,6.55826,-6.38379,-12.942,-14.1057,-2.82926,6.55826,-2.82926,-6.99035,0.0311706
11.5,-10.052,-9.93289,0.119093,-1.03262,-2.3801,-10.052,-2.3801,-7.08577,0.0311679
11.6,-34.4431,-14.7234,19.7197,20.5399,3.34991,-34.4431,3.34991,-7.93837,0.0311654
11.7,-1.89314,-8.20222,-6.30908,-6.11974,0.982496,-1.89314,0.982496,-7.74998,0.031163
11.8,5.414,-6.88318,-12.2972,-13.3376,-2.59752,5.414,-2.59752,-7.33978,0.0311608
11.9,-9.61239,-10.1173,-0.504924,-1.59579,-2.34709,-9.61239,-2.34709,-7.4106,0.0311587
12,-34.3744,-14.9818,19.3926,20.241,3.29993,-34.3744,3.29993,-8.2507,0.0311567
12.1,-2.57999,-8.60918,-6.02918,-5.78371,1.02902,-2.57999,1.02902,-8.07403,0.0311549
12.2,4.25784,-7.37898,-11.6368,-12.555,-2.367,4.25784,-2.367,-7.68985,0.0311532
12.3,-9.1814,-10.2981,-1.11666,-2.14653,-2.31188,-9.1814,-2.31188,-7.73632,0.0311516
12.4,-34.2878,-15.2331,19.0546,19.9302,3.24864,-34.2878,3.24864,-8.56339,0.03115
12.5,-3.25844,-9.00995,-5.75151,-5.45107,1.07371,-3.25844,1.07371,-8.39815,0.0311486
12.6,3.07538,-7.87887,-10.9543,-11.7492,-2.13203,3.07538,-2.13203,-8.04078,0.0311473
12.7,-8.75507,-10.4815,-1.72639,-2.69402,-2.27252,-8.75507,-2.27252,-8.06303,0.031146
12.8,-34.188,-15.4828,18.7052,19.6081,3.19764,-34.188,3.19764,-8.87669,0.0311448
