time,measured_position,estimated_position
0.1,-41.0052,-27.935
0.2,17.256,7.95636
0.3,1.68178,2.86128
0.4,24.4066,19.9985
0.5,-40.6045,-28.4947
0.6,17.7599,8.25592
0.7,1.78171,3.01359
0.8,24.4646,20.0868
0.9,-40.2017,-28.144
1,18.255,8.734
1.1,1.87258,3.19409
1.2,24.5195,20.1772
1.3,-39.7979,-27.7932
1.4,18.7402,9.20308
1.5,1.9542,3.36427
1.6,24.572,20.2626
1.7,-39.3933,-27.4439
1.8,19.2156,9.66301
1.9,2.02617,3.52388
2,24.6214,20.3423
2.1,-38.9875,-27.0956
2.2,19.6806,10.1135
2.3,2.0887,3.67314
2.4,24.6684,20.4172
2.5,-38.5832,-26.7503
2.6,20.1352,10.5543
2.7,2.14176,3.81203
2.8,24.7112,20.4857
2.9,-38.1772,-26.4057
3,20.5787,10.9853
3.1,2.18421,3.93974
3.2,24.7522,20.5499
3.3,-37.7728,-26.064
3.4,21.0113,11.4063
3.5,2.21774,4.05764
3.6,24.7899,20.6088
3.7,-37.3685,-25.7241
3.8,21.4321,11.817
3.9,2.24017,4.16395
4,24.8242,20.6621
4.1,-36.9655,-25.3868
4.2,21.8414,12.2174
4.3,2.25273,4.25974
4.4,24.855,20.7099
4.5,-36.5646,-25.0529
4.6,22.2372,12.6058
4.7,2.25628,4.34543
4.8,24.8829,20.7529
4.9,-36.166,-24.7222
5,22.6215,12.9839
5.1,2.25102,4.42154
5.2,24.9066,20.7901
5.3,-35.7684,-24.3938
5.4,22.9929,13.3509
5.5,2.23201,4.48398
5.6,24.9276,20.8221
5.7,-35.3733,-24.069
5.8,23.3507,13.7059
5.9,2.20567,4.5378
6,24.945,20.849
6.1,-34.9836,-23.7497
6.2,23.6943,14.0482
6.3,2.16635,4.57832
6.4,24.9591,20.8703
6.5,-34.5942,-23.4322
6.6,24.0251,14.3795
6.7,2.11944,4.61027
6.8,24.9694,20.8866
6.9,-34.2109,-23.1208
7,24.3406,14.6972
7.1,2.06311,4.63164
7.2,24.9751,20.8967
7.3,-33.8275,-22.8107
7.4,24.6428,15.0037
7.5,1.99645,4.64226
7.6,24.978,20.9023
7.7,-33.4497,-22.5063
7.8,24.9301,15.2969
7.9,1.91279,4.63637
8,24.9782,20.9021
8.1,-33.0774,-22.2077
8.2,25.2034,15.5776
8.3,1.82433,4.62392
8.4,24.9714,20.8948
8.5,-32.7075,-21.9126
8.6,25.4601,15.8441
8.7,1.72826,4.60232
8.8,24.9641,20.8851
8.9,-32.3469,-21.6255
9,25.7048,16.0993
9.1,1.61634,4.56561
9.2,24.9523,20.8686
9.3,-31.9869,-21.3405
9.4,25.9321,16.34
9.5,1.49677,4.51968
9.6,24.9377,20.8479
9.7,-31.632,-21.0604
9.8,26.1437,16.5671
9.9,1.36438,4.46063
