time,measured_position,estimated_position
0.5,0.475188,-24.8715
1,46.5069,12.085
1.5,12.7581,15.41
2,18.7065,19.9141
2.5,-7.18997,9.15751
3,22.7676,17.9406
3.5,3.64014,13.0098
4,-4.05729,6.22721
4.5,18.737,13.7188
5,-25.1825,-4.2442
5.5,-11.3526,-7.35767
6,-47.2568,-27.0662
6.5,-25.3669,-26.9851
7,26.1836,-1.08839
7.5,9.75348,5.0085
8,15.2282,11.0315
8.5,-14.263,-0.492686
9,28.9788,14.6776
9.5,18.2446,17.6107
10,-8.12975,5.92174
10.5,38.3054,22.5923
11,1.55306,13.337
11.5,-12.8337,0.926807
12,-47.6665,-23.3827
12.5,-26.8353,-26.336
13,11.7122,-8.56391
13.5,-14.0561,-11.5482
14,13.9372,0.830901
14.5,-16.0079,-7.2968
15,7.44339,-0.0705466
15.5,22.8071,11.6001
16,-1.08049,6.05202
16.5,40.7114,23.8173
17,20.7632,23.5705
17.5,11.2515,18.5509
18,-40.0248,-9.962
18.5,-33.6469,-22.5326
19,19.9694,-2.56553
19.5,-25.0326,-13.9562
20,-6.22384,-10.801
20.5,-12.8673,-12.3163
21,-5.1639,-9.24976
21.5,1.12492,-4.3678
22,-7.677,-6.05314
22.5,50.7687,22.2459
23,24.4387,24.6565
23.5,21.6631,24.4631
24,-9.21709,8.78634
24.5,-31.5088,-11.0981
25,18.985,3.18604
25.5,-13.2126,-4.98074
26,-9.9174,-7.82811
26.5,-23.0973,-15.9462
27,-12.4232,-15.0258
27.5,-7.84654,-12.1471
28,-36.6882,-24.9135
28.5,42.068,7.4926
29,36.6595,22.7202
29.5,16.5775,20.9899
30,3.67846,13.4547
30.5,-10.1562,2.2809
31,24.9427,13.6216
31.5,-11.8376,1.46787
32,5.29773,3.29339
32.5,-11.1947,-3.93986
33,-29.0699,-16.8568
33.5,-12.0154,-15.3987
34,-47.6728,-32.3292
34.5,12.7653,-11.3425
35,29.9936,8.97035
35.5,19.6672,15.0147
36,3.03247,9.95219
36.5,-10.1238,0.496779
37,42.8152,21.7075
37.5,-2.76117,10.5801
38,5.87619,8.66804
38.5,17.16,13.2143
39,-19.6969,-2.74372
39.5,-23.4315,-13.4377
40,-52.7966,-33.9669
40.5,2.95316,-17.2981
41,8.91302,-4.97126
41.5,3.69762,-0.721302
42,11.1302,5.34092
42.5,-19.7104,-6.75881
43,33.5665,13.1822
43.5,14.0598,14.4186
44,12.1579,14.0679
44.5,28.6194,22.0277
45,3.04275,13.549
45.5,-8.38889,3.06844
46,-61.2028,-29.1516
46.5,-4.23443,-18.3801
47,11.1176,-4.61095
47.5,-20.3939,-12.6958
48,0.706901,-6.57265
48.5,-17.7492,-12.3752
49,15.8718,1.26537
49.5,2.20776,1.98394
50,20.1182,11.3097
50.5,45.0592,28.8834
51,8.1529,20.026
51.5,13.5815,17.7178
52,-41.4757,-11.1716
52.5,-15.0756,-13.9315
53,14.2551,-0.7033
53.5,-18.0343,-9.48598
54,-12.2449,-11.41
54.5,-30.5853,-21.584
55,9.00419,-7.32631
55.5,-13.4294,-10.5977
56,-2.44037,-6.88051
56.5,58.1522,25.4964
57,19.9437,24.2134
57.5,14.8231,20.7981
58,-19.0741,1.8431
58.5,-0.809412,0.452089
59,14.0997,7.14808
59.5,-16.1966,-4.30449
60,1.80328,-1.62546
60.5,-37.5565,-19.7944
61,-12.2028,-17.0901
61.5,-16.7848,-17.7846
62,-24.5922,-21.9855
62.5,39.9668,8.06315
63,27.0771,18.2378
63.5,21.9312,21.1941
64,-17.1113,3.18792
64.5,8.70897,6.07999
65,35.4601,21.033
65.5,-16.275,3.36337
66,11.1695,7.26884
66.5,-14.9131,-3.62468
67,-23.0912,-13.7249
67.5,-32.4247,-23.9101
68,-33.7361,-30.0841
68.5,25.5945,-3.68838
69,7.06288,1.70778
69.5,21.1276,11.706
70,-7.04485,3.08993
70.5,-3.35905,0.118075
71,44.4123,22.344
71.5,2.96635,13.8374
72,17.1142,16.1144
72.5,1.84946,9.67056
73,-5.96558,2.15007
73.5,-33.412,-15.7392
74,-53.1997,-35.4613
74.5,22.509,-8.35493
75,-1.76253,-5.3943
75.5,-4.07695,-4.88961
76,-4.98588,-5.0511
76.5,-6.10799,-5.68963
77,30.3934,12.2209
77.5,5.31426,9.54519
78,37.0009,23.8391
78.5,16.9459,21.6167
79,1.5728,12.5854
79.5,-9.32916,2.06809
80,-54.1248,-26.1582
80.5,7.94297,-10.6358
81,2.28326,-4.77554
81.5,-13.1684,-9.21829
82,-21.7913,-15.9486
82.5,-16.8276,-17.1241
83,25.3036,3.36862
83.5,-12.6111,-4.24561
84,33.5273,14.5982
84.5,43.7598,30.0828
85,7.92953,20.5938
85.5,0.653413,11.578
86,-32.9448,-10.2752
86.5,11.2304,-0.247659
87,-3.0277,-1.78906
87.5,-10.3771,-6.29639
88,-16.8173,-11.9742
88.5,-40.0237,-26.6584
89,10.1645,-9.57472
89.5,-18.5646,-14.4105
90,10.7716,-2.36796
90.5,44.7528,21.3009
91,23.6572,23.7601
91.5,8.87096,17.5915
92,-28.482,-4.6054
92.5,28.8599,11.7733
93,11.0286,11.9014
93.5,-16.5968,-1.89096
94,-1.19106,-1.81955
94.5,-35.5355,-18.9246
95,-14.0879,-17.5839
95.5,-33.1998,-26.2947
96,0.483374,-14.1538
96.5,30.7798,7.79679
97,13.1061,11.0843
97.5,22.763,17.6576
98,-23.7185,-2.04116
98.5,23.6507,10.7102
99,33.771,22.793
99.5,-3.63717,10.6792
