Time, Current Position, Running Average(7), Error, PI Output, Smoothed Output
0,-29.5137,-4.21625,25.2975,25.5505,12.7752
0.1,22.4833,-1.00434,-23.4877,-23.4696,3.71403
0.2,27.8576,2.97531,-24.8822,-25.113,-3.49272
0.3,-21.8854,-0.151178,21.7342,21.7208,2.81067
0.4,-29.9175,-4.4251,25.4924,25.7339,8.54148
0.5,21.6206,-1.33644,-22.9571,-22.9451,0.669831
0.6,27.5634,2.60119,-24.9622,-25.1999,-5.79759
0.7,-21.5474,3.73923,25.2867,25.3019,1.97728
0.8,-30.305,-3.80195,26.503,26.7833,8.17877
0.9,20.7524,-4.81698,-25.5694,-25.5448,-0.252124
1,27.2315,2.19972,-25.0318,-25.2575,-6.50347
1.1,-21.1982,3.44534,24.6435,24.6642,1.28843
1.2,-30.6755,-4.02554,26.6499,26.9371,7.7006
1.3,19.8755,-5.1238,-24.9993,-24.9622,-0.46509
1.4,26.8575,1.79119,-25.0663,-25.2798,-6.66877
1.5,-20.8405,3.14326,23.9838,24.0101,1.00095
1.6,-31.0315,-4.25445,26.7771,27.0712,7.51851
1.7,18.9946,-5.43115,-24.4258,-24.3759,-0.455086
1.8,26.4466,1.37524,-25.0713,-25.2722,-6.65936
1.9,-20.4717,2.83293,23.3046,23.3368,0.839687
2,-31.3723,-4.4882,26.8841,27.1852,7.42606
2.1,18.1108,-5.73772,-23.8486,-23.786,-0.376958
2.2,25.9952,0.953093,-25.0421,-25.23,-6.59022
2.3,-20.0929,2.51575,22.6086,22.6469,0.719055
2.4,-31.6917,-4.72514,26.9665,27.2744,7.3579
2.5,17.223,-6.04279,-23.2658,-23.1906,-0.279223
2.6,25.5083,0.525772,-24.9825,-25.1571,-6.49869
2.7,-19.7078,2.19213,21.8999,21.9443,0.612066
2.8,-31.9981,-4.96628,27.0318,27.3465,7.29568
2.9,16.334,-6.34645,-22.6805,-22.5926,-0.176383
3,24.9809,0.0926634,-24.8882,-25.0492,-6.39459
3.1,-19.3117,1.86123,21.1729,21.2237,0.509982
3.2,-32.2842,-5.21123,27.073,27.3944,7.2311
3.3,15.4417,-6.6493,-22.091,-21.9905,-0.0742924
3.4,24.4158,-0.345922,-24.7618,-24.9088,-6.28292
3.5,-18.9091,1.52393,20.433,20.4903,0.410392
3.6,-32.5549,-5.4602,27.0947,27.4229,7.16353
3.7,14.5527,-6.94995,-21.5026,-21.3894,0.0252998
3.8,23.8195,-0.788345,-24.6079,-24.7408,-6.16621
3.9,-18.4965,1.18133,19.6778,19.7417,0.310766
4,-32.8079,-5.71147,27.0964,27.4313,7.09089
4.1,13.6619,-7.24775,-20.9097,-20.7839,0.122195
4.2,23.1804,-1.23496,-24.4153,-24.5337,-6.04178
4.3,-18.0796,0.832943,18.9125,18.9833,0.214477
4.4,-33.0432,-5.96646,27.0767,27.4182,7.01541
4.5,12.7749,-7.54426,-20.3192,-20.1808,0.216349
4.6,22.5156,-1.6854,-24.201,-24.3047,-5.91391
4.7,-17.6545,0.479365,18.1339,18.2115,0.117454
4.8,-33.2614,-6.22397,27.0374,27.3855,6.93445
4.9,11.8902,-7.83685,-19.727,-19.5763,0.306771
5,21.8081,-2.13861,-23.9468,-24.0355,-5.77879
5.1,-17.2255,0.12106,17.3466,17.4313,0.0237377
5.2,-33.4631,-6.48436,26.9787,27.3332,6.85111
5.3,11.0119,-8.12774,-19.1397,-18.9765,0.394205
5.4,21.0666,-2.59616,-23.6627,-23.7362,-5.6384
5.5,-16.7939,-0.243667,16.5503,16.6423,-0.0682256
5.6,-33.6505,-6.74947,26.901,27.262,6.76434
5.7,10.1345,-8.41714,-18.5516,-18.3761,0.479222
5.8,20.2949,-3.05709,-23.352,-23.41,-5.49307
5.9,-16.3554,-0.613143,15.7423,15.8417,-0.159374
6,-33.8182,-7.01745,26.8008,27.1682,6.67252
6.1,9.26252,-8.70375,-17.9663,-17.7785,0.559767
6.2,19.4923,-3.51999,-23.0123,-23.0547,-5.34385
6.3,-15.9095,-0.98556,14.9239,15.0308,-0.25019
6.4,-33.9665,-7.2857,26.6808,27.0545,6.57597
6.5,8.39572,-8.98558,-17.3813,-17.1814,0.636623
6.6,18.6584,-3.9836,-22.642,-22.6685,-5.18966
6.7,-15.4632,-1.36146,14.1018,14.2162,-0.338188
6.8,-34.1013,-7.55629,26.545,26.9249,6.47759
6.9,7.54124,-9.26359,-16.8048,-16.593,0.709954
7,17.7898,-4.44941,-22.2392,-22.2497,-5.02996
7.1,-15.0139,-1.7419,13.272,13.3942,-0.42392
7.2,-34.218,-7.82957,26.3884,26.7745,6.37569
7.3,6.69311,-9.5389,-16.232,-16.0082,0.779705
7.4,16.8931,-4.91657,-21.8096,-21.804,-4.86621
7.5,-14.5614,-2.12516,12.4362,12.5662,-0.508096
7.6,-34.3207,-8.10543,26.2152,26.6074,6.27078
7.7,5.84931,-9.8112,-15.6605,-15.4249,0.846852
7.8,15.9699,-5.38495,-21.3548,-21.3328,-4.69806
7.9,-14.1082,-2.51212,11.596,11.734,-0.590036
8,-34.4023,-8.38289,26.0194,26.4176,6.16187
8.1,5.0218,-10.0788,-15.1006,-14.8534,0.908049
