n,angular_velocity,amplitude,phase
0,0.0128114,0.216646,3.66137
1,15.696,9.89884,1.75036
2,31.3843,2.12245,6.00673
3,47.2038,8.77719,6.25309
4,62.8241,0.656678,0.710966
5,78.5591,2.92005,2.53252
6,94.2497,4.05343,6.22964
7,109.893,9.50377,4.05498
8,125.6,7.6337,2.2413
9,141.412,3.36969,1.59146
10,157.106,9.02744,6.0617
11,172.803,6.63083,0.127359
12,188.571,9.21345,6.20293
13,204.132,9.24444,3.16637
14,219.882,6.74051,0.260956
15,235.679,1.85744,2.55419
16,251.271,2.63058,4.38117
17,266.96,1.9447,3.26769
18,282.666,3.75069,4.46784
19,298.431,6.91087,0.00475379
20,314.082,2.3639,1.45706
21,329.828,6.74497,0.19536
22,345.498,3.06086,1.66495
23,361.306,2.45227,3.08258
24,377.078,2.32755,4.50016
